fps,value_loss,serial_timesteps,n_updates,policy_loss,clipfrac,total_timesteps,explained_variance,policy_entropy,time_elapsed,ep_reward_mean,approxkl,ep_len_mean
298,11.796733,358400,175,-0.0007009364,0.013085937,358400,0.5953347980976105,2.8038564,1171.309715270996,1216.2393962600001,0.0015285674,1291.16
293,17.011654,360448,176,-0.0010184229,0.047705077,360448,0.1775294542312622,2.8044126,1178.1710646152496,1223.67666438,0.0042301957,1299.25
290,19.09359,362496,177,-0.002091642,0.04863281,362496,-0.01814436912536621,2.8024182,1185.1553785800934,1240.35753713,0.0039654695,1316.54
298,19.124393,364544,178,-0.0027576855,0.0390625,364544,-0.019812941551208496,2.8082242,1192.2078409194946,1256.46699677,0.003600451,1333.39
296,18.996077,366592,179,-0.0023634841,0.019970704,366592,0.02013629674911499,2.798357,1199.0647745132446,1271.9051117899999,0.0026054222,1349.59
295,18.710487,368640,180,-0.0021707662,0.059033204,368640,0.012151896953582764,2.7820394,1205.9766507148743,1283.84310405,0.0049767876,1361.8
295,18.369793,370688,181,-2.5935344e-05,0.023632813,370688,0.06727546453475952,2.7896478,1212.8986339569092,1297.34316217,0.002348823,1375.75
293,17.822994,372736,182,-0.0028297903,0.048193358,372736,0.13492530584335327,2.8039145,1219.8429658412933,1313.74929869,0.0042659724,1392.77
292,17.828695,374784,183,-0.005034392,0.061523438,374784,0.0620419979095459,2.8083293,1226.8272488117218,1321.6185217899997,0.0046630176,1401.14
291,17.625395,376832,184,-0.002814772,0.043603517,376832,0.10645544528961182,2.809298,1233.8198380470276,1336.07222579,0.0041169976,1416.53
293,18.199999,378880,185,-0.0024879102,0.060253907,378880,0.08272045850753784,2.805095,1240.8544600009918,1347.14442369,0.005139796,1428.42
295,18.754795,380928,186,-0.0008160683,0.026464844,380928,0.001981675624847412,2.8034925,1247.8310794830322,1354.1084058899996,0.0029854537,1435.69
294,18.656218,382976,187,-0.004374281,0.0765625,382976,0.054940760135650635,2.7978096,1254.7563366889954,1370.6832148199996,0.005799944,1452.7
291,18.637968,385024,188,-0.0007835501,0.025146484,385024,0.04454934597015381,2.8101268,1261.7038123607635,1386.44477499,0.002459236,1469.06
291,18.278637,387072,189,-0.0019444361,0.052978516,387072,0.09831202030181885,2.8089871,1268.7333505153656,1402.41031679,0.0044686534,1485.72
286,19.19731,389120,190,-0.0013405047,0.030517578,389120,-0.004940986633300781,2.8069956,1275.7706706523895,1408.56297567,0.0028068693,1492.39
297,18.288952,391168,191,-0.0008201242,0.031103516,391168,0.07469832897186279,2.8123045,1282.9247965812683,1422.4253047,0.0031901165,1507.5
292,19.009365,393216,192,-0.0027397138,0.04799805,393216,0.007655620574951172,2.8030577,1289.8064932823181,1438.35768223,0.004017663,1523.81
