ep_len_mean,n_updates,fps,ep_reward_mean,serial_timesteps,clipfrac,total_timesteps,time_elapsed,value_loss,approxkl,explained_variance,policy_loss,policy_entropy
1896.66,511,291,1806.68095715,1046528,0.0125488285,1046528,3477.659111738205,19.028744,0.0015822019,0.02127230167388916,-0.0009127899,4.316991
1896.66,512,294,1806.44507046,1048576,0.021533202,1048576,3484.678968667984,18.385105,0.0021605217,0.0769309401512146,-0.0026402595,4.307197
1896.66,513,292,1806.4627782400003,1050624,0.0072265626,1050624,3491.6465878486633,19.130434,0.0010790486,-0.007003068923950195,-0.00058116106,4.315599
1896.66,514,291,1806.7372602499997,1052672,0.013427734,1052672,3498.655760526657,18.32322,0.0015922897,0.09650522470474243,-0.00046547555,4.321636
1896.66,515,292,1806.52573986,1054720,0.020361328,1054720,3505.6803164482117,18.510355,0.0020883,0.06894153356552124,-0.0005672892,4.331769
1896.66,516,294,1806.4975929399998,1056768,0.01171875,1056768,3512.690752029419,18.788147,0.0015270034,0.03436934947967529,-0.00071338454,4.338877
1896.66,517,293,1806.0696001500003,1058816,0.022216797,1058816,3519.6384904384613,18.715109,0.002111016,-0.009904742240905762,-0.0008304473,4.349838
1896.66,518,292,1806.1286129200003,1060864,0.018798828,1060864,3526.616979598999,19.186018,0.00195381,0.03254503011703491,-0.00238458,4.3589516
1896.66,519,286,1806.4378331599999,1062912,0.035546876,1062912,3533.615002632141,19.531643,0.0032461393,-0.01839578151702881,-0.0030737298,4.3584614
1896.66,520,291,1806.5065068600002,1064960,0.040771484,1064960,3540.76270198822,19.026249,0.0035904318,0.012515485286712646,-0.0038712185,4.364124
1896.66,521,296,1806.2270936900002,1067008,0.018017579,1067008,3547.7990624904633,18.551386,0.0020112344,0.05224740505218506,-0.0005374954,4.3640223
1896.66,522,292,1806.2763607799998,1069056,0.025488282,1069056,3554.715770959854,18.653683,0.0024949773,0.0733863115310669,-0.0013881609,4.36288
1896.66,523,291,1806.4188756100002,1071104,0.009960937,1071104,3561.719178199768,18.357922,0.0013458359,0.08986508846282959,-0.0012445983,4.369191
1896.66,524,296,1806.67588581,1073152,0.029882813,1073152,3568.746357679367,19.262508,0.0026318007,-0.01818227767944336,-0.0011441843,4.371192
1896.66,525,295,1806.5591879099998,1075200,0.043359376,1075200,3575.6491780281067,18.137527,0.0038673375,0.11427533626556396,-0.002784724,4.3629503
1896.66,526,296,1806.4852712599998,1077248,0.011767578,1077248,3582.5816226005554,19.201359,0.0015757453,-0.011184930801391602,-0.0005141508,4.363288
1896.66,527,299,1805.89332743,1079296,0.012207031,1079296,3589.493319749832,18.646145,0.0014253526,0.019792139530181885,-0.0008235816,4.3766346
1896.66,528,298,1806.08724571,1081344,0.018359374,1081344,3596.3412585258484,19.08585,0.001728747,0.008588433265686035,-0.0015177967,4.401258
1896.66,529,297,1805.84940541,1083392,0.017773438,1083392,3603.2109355926514,18.591076,0.001931693,0.01399916410446167,-0.0020350025,4.418886
1896.66,530,294,1805.8377860500002,1085440,0.014550781,1085440,3610.104229927063,18.99521,0.0018671971,0.005802750587463379,-0.0008311889,4.4287853
1896.66,531,298,1805.81401458,1087488,0.019384766,1087488,3617.0689237117767,18.733917,0.0021343208,0.06250983476638794,-0.0010539127,4.4393873
1896.66,532,294,1805.6580255800006,1089536,0.052197266,1089536,3623.9319038391113,18.432222,0.0041329693,0.09477698802947998,-0.0028013077,4.4410186
1896.66,533,294,1805.4787612500002,1091584,0.030322265,1091584,3630.8769161701202,18.590862,0.00279361,0.059183478355407715,-0.0019193845,4.4472
1896.66,534,297,1805.5395267100002,1093632,0.05620117,1093632,3637.8435220718384,18.598698,0.0047332356,0.03161609172821045,-0.0046920124,4.4669333
1896.66,535,296,1805.4419594700003,1095680,0.023291016,1095680,3644.739255428314,18.695387,0.0021057946,-0.003812432289123535,-0.0019729782,4.4898767
1896.66,536,299,1805.55987196,1097728,0.0056152344,1097728,3651.645658016205,19.180347,0.0009777896,-0.020926833152770996,-0.0002400794,4.51764
1896.66,537,302,1805.53273606,1099776,0.014599609,1099776,3658.4918036460876,17.995667,0.0018137243,0.05954092741012573,-0.00014672938,4.5226226
1896.66,538,301,1805.29343305,1101824,0.02758789,1101824,3665.258701324463,19.251125,0.0028900015,-0.046803832054138184,-0.0015941269,4.508316
1888.25,539,301,1797.5489542500002,1103872,0.047216795,1103872,3672.0473465919495,15.98822,0.004145352,0.25013571977615356,-0.0026871322,4.4909115
1888.25,540,297,1797.2281969300002,1105920,0.07133789,1105920,3678.8455221652985,17.813076,0.005311941,0.13725167512893677,-0.0022736276,4.488097
1879.87,541,302,1788.7549494600007,1107968,0.036865234,1107968,3685.7375609874725,31.456842,0.0030927905,0.21895039081573486,-0.0016310329,4.492176
1848.29,542,299,1758.6195951600002,1110016,0.016113281,1110016,3692.504322052002,30.1545,0.0016293058,0.26886576414108276,-0.0010108307,4.509193
1840.28,543,298,1750.3703965299999,1112064,0.008740234,1112064,3699.3468437194824,33.037346,0.0012265622,0.17960870265960693,-0.00061127386,4.5138273
1809.52,544,294,1720.89581662,1114112,0.051855467,1114112,3706.2007632255554,24.506714,0.0045571574,0.49488914012908936,-0.0057658306,4.507465
1792.06,545,293,1703.96066275,1116160,0.03359375,1116160,3713.1642673015594,28.725277,0.002987325,0.3446601629257202,-0.0014506929,4.522079
1791.91,546,295,1703.6289716299998,1118208,0.009423828,1118208,3720.1354529857635,13.377065,0.0011475354,0.4520554542541504,-0.0010780364,4.536153
1775.33,547,297,1687.54511538,1120256,0.026464844,1120256,3727.0585148334503,33.827618,0.0024922134,0.13662302494049072,-0.0023312746,4.538661
1732.23,548,294,1646.3428674000002,1122304,0.017480468,1122304,3733.9514067173004,41.50133,0.0017502762,0.37127041816711426,-0.0012070901,4.5412965
1711.35,549,293,1626.92832295,1124352,0.02890625,1124352,3740.9180035591125,25.92622,0.0026890084,0.47168081998825073,-0.0015777802,4.5564704
1711.35,550,297,1626.48035099,1126400,0.008007812,1126400,3747.904593706131,18.13155,0.0010417333,0.14926648139953613,-0.0005695337,4.579436
1711.35,551,300,1626.4717822799998,1128448,0.061816406,1128448,3754.7951402664185,18.647787,0.004904456,0.05756044387817383,-0.007227967,4.588326
1711.35,552,294,1626.1332177300003,1130496,0.011132812,1130496,3761.6184589862823,19.058302,0.0013308203,0.06771165132522583,-0.0016728208,4.58941
1705.17,553,295,1620.0465312500005,1132544,0.03461914,1132544,3768.5669746398926,13.507727,0.003272755,0.46415215730667114,-0.0030428397,4.5923347
1692.2,554,297,1607.31989367,1134592,0.024414062,1134592,3775.510134935379,30.682465,0.0025192834,0.2890682816505432,-0.0026694927,4.594677
1692.2,555,302,1607.5804949099997,1136640,0.023242187,1136640,3782.398931503296,18.010126,0.002268476,0.15591901540756226,-0.0025458906,4.6087804
1710.34,556,299,1624.9763278599996,1138688,0.03227539,1138688,3789.172034263611,18.485018,0.0030315493,0.14186608791351318,-0.0015562263,4.613819
1710.34,557,299,1625.24008363,1140736,0.026367188,1140736,3796.0011525154114,18.716583,0.0025226823,0.07872581481933594,-0.00028440077,4.6104403
1710.34,558,297,1625.48216075,1142784,0.013818359,1142784,3802.8487961292267,18.513214,0.001407098,0.09556853771209717,-0.001979306,4.61263
1710.34,559,296,1625.80319302,1144832,0.026806641,1144832,3809.7388565540314,18.470808,0.002693593,0.13032454252243042,-0.0023051666,4.618533
1709.91,560,294,1625.4374730700004,1146880,0.024023438,1146880,3816.6451897621155,13.099711,0.0023817685,0.46504688262939453,-0.0007749713,4.6256957
1694.33,561,297,1610.30303986,1148928,0.029101562,1148928,3823.6044120788574,29.865047,0.0025472133,0.3477856516838074,-0.0015881257,4.644389
1694.33,562,299,1610.0032551999998,1150976,0.04506836,1150976,3830.491180896759,17.893986,0.004071278,0.16649973392486572,-0.0025641476,4.655414
1694.33,563,296,1609.8433048099998,1153024,0.0146484375,1153024,3837.336364507675,19.16677,0.0014362747,-0.010858774185180664,-0.0006676333,4.6684957
1694.33,564,296,1609.72663638,1155072,0.0089355465,1155072,3844.243139743805,19.235174,0.0014691412,-0.02627098560333252,-0.0007310722,4.6740336
1694.33,565,301,1609.4306477300001,1157120,0.033740234,1157120,3851.14851975441,18.905437,0.0030407622,0.022383451461791992,-0.002623764,4.6677904
1694.33,566,299,1609.35013414,1159168,0.015966797,1159168,3857.953878879547,19.060966,0.0017589204,0.014935433864593506,-0.00091011653,4.66652
1694.33,567,298,1609.6933462099998,1161216,0.0072265626,1161216,3864.78257727623,19.601284,0.0012800256,0.0016127824783325195,-0.00047712814,4.664279
1694.33,568,297,1609.6960270499994,1163264,0.013378906,1163264,3871.6359837055206,19.074665,0.0016141577,0.024547696113586426,-0.0011018981,4.6623816
1694.33,569,299,1609.5455403199996,1165312,0.012744141,1165312,3878.5109555721283,18.797976,0.0013940386,0.037575721740722656,0.0001214335,4.6705565
1694.33,570,299,1609.6384408399995,1167360,0.027832031,1167360,3885.344460964203,17.75359,0.002709642,0.14185863733291626,-0.002270752,4.676221
1694.33,571,299,1609.9417964999998,1169408,0.040478516,1169408,3892.1919894218445,18.13415,0.0034489904,0.1162949800491333,-0.0027422656,4.6764164
1694.33,572,302,1609.5408609699998,1171456,0.02841797,1171456,3899.0282249450684,18.872501,0.002581581,-0.016311049461364746,-0.0024825197,4.68199
1694.33,573,301,1610.02372363,1173504,0.03769531,1173504,3905.8053002357483,18.31191,0.003040729,0.12801367044448853,-0.0024120603,4.700955
1694.33,574,300,1610.1632101700002,1175552,0.02475586,1175552,3912.588908433914,19.307314,0.002136827,0.033319711685180664,-0.0010734899,4.7110643
1711.83,575,298,1626.8888641500002,1177600,0.01977539,1177600,3919.4016728401184,19.168943,0.0018495505,-0.02421712875366211,-0.0012662306,4.719462
1711.83,576,300,1626.87653218,1179648,0.040234376,1179648,3926.256603240967,18.553938,0.0035993725,0.11344283819198608,-0.004081709,4.741487
1714.82,577,298,1629.8867255999999,1181696,0.009521484,1181696,3933.067601442337,18.720133,0.001325689,0.046057939529418945,-0.00072743284,4.7466736
1714.82,578,299,1630.3387936399997,1183744,0.003857422,1183744,3939.920344352722,19.016214,0.0007531181,0.03113466501235962,-0.000360873,4.744609
1714.82,579,298,1630.82112238,1185792,0.020507812,1185792,3946.7593660354614,19.179005,0.0021390063,-0.003651857376098633,-0.0011054368,4.7558036
1720.72,580,297,1636.38883145,1187840,0.0036621094,1187840,3953.628770828247,17.75317,0.0005887683,0.15130823850631714,3.5422487e-05,4.764535
1730.83,581,299,1645.97935522,1189888,0.0077636717,1189888,3960.516841173172,18.89362,0.0010932563,0.06781184673309326,-0.00029956098,4.774231
1742.98,582,303,1657.8608376000002,1191936,0.02451172,1191936,3967.3560276031494,19.349438,0.0027282154,-0.0004649162292480469,-0.002462875,4.7846575
1755.93,583,300,1670.3582646799998,1193984,0.0234375,1193984,3974.1105954647064,19.108868,0.0021675609,-0.0007941722869873047,-0.00089632504,4.793786
1771.62,584,300,1685.3427297300002,1196032,0.020263672,1196032,3980.91680932045,19.010433,0.0020558948,0.051766932010650635,-0.00048860477,4.8041606
1786.32,585,297,1699.19343322,1198080,0.0072753904,1198080,3987.735208272934,19.067356,0.0009781201,-0.024992942810058594,-0.00012730813,4.8134794
1786.32,586,300,1699.19343322,1200128,0.025097657,1200128,3994.6116349697113,0.18666483,0.00248581,0.8112210035324097,-0.0030481445,4.8185716
