policy_loss,total_timesteps,n_updates,serial_timesteps,explained_variance,fps,ep_reward_mean,clipfrac,policy_entropy,value_loss,approxkl,ep_len_mean,time_elapsed
-0.00500843,217088,106,217088,0.4371110200881958,386,217.72435910999997,0.05805664,1.6986672,40.84973,0.0048778662,325.05,1323.5917975902557
-0.0021008367,219136,107,219136,0.5751075744628906,399,234.02110056,0.044970702,1.7144111,39.36747,0.0037552852,343.74,1328.8971984386444
-0.006686521,221184,108,221184,0.6102701425552368,300,234.07576317000002,0.03261719,1.7257416,31.674423,0.0029841412,343.8,1334.021213054657
-0.0052809003,223232,109,223232,0.4915323853492737,362,250.61126387000002,0.05546875,1.7325404,35.75972,0.0048374697,362.61,1340.8470084667206
-0.0037163123,225280,110,225280,0.5131396949291229,278,267.23549346,0.050878905,1.728171,28.587366,0.0045417612,381.44,1346.5038278102875
-0.0029693632,227328,111,227328,0.4487610459327698,314,283.82923516000005,0.029296875,1.7318798,30.199173,0.003254858,400.31,1353.8539717197418
-0.0039431555,229376,112,229376,0.12256491184234619,285,300.35328608000003,0.04941406,1.7338578,30.25467,0.0042059617,419.24,1360.3773369789124
-0.003065845,231424,113,231424,0.43106329441070557,380,316.77454685000004,0.045996092,1.7358186,27.7432,0.0038467734,438.04,1367.55264210701
-0.0041055833,233472,114,233472,0.050057828426361084,292,333.2003726500001,0.03466797,1.7465883,28.002483,0.0031509888,456.8,1372.9432125091553
-0.0022698005,235520,115,235520,0.33633261919021606,422,349.69560807,0.027197266,1.7499905,26.85437,0.0028978402,475.65,1379.9557909965515
-0.002681429,237568,116,237568,0.1343255639076233,391,366.24917664000003,0.025390625,1.7529087,27.092474,0.0024773728,494.38,1384.8032937049866
-0.0049534705,239616,117,239616,0.19430673122406006,399,382.90665154000004,0.038085938,1.7587404,25.807215,0.0034811858,513.54,1390.0306482315063
-0.002749125,241664,118,241664,0.21544820070266724,274,399.41631778999994,0.033203125,1.7699751,25.907425,0.0031763825,532.4,1395.1551897525787
-0.0022671304,243712,119,243712,0.2611757516860962,343,416.08215055,0.025292968,1.7744157,25.490911,0.0026758467,551.44,1402.6054785251617
-0.0054158643,245760,120,245760,-0.016263246536254883,381,432.92796044000005,0.051123045,1.7793691,25.991297,0.004274943,570.73,1408.5709083080292
-0.0041887355,247808,121,247808,0.13872718811035156,295,449.59056441000007,0.058447264,1.7769139,25.630566,0.004606578,589.59,1413.9447009563446
-0.003084197,249856,122,249856,0.15338456630706787,395,465.98353783000005,0.032568358,1.7807095,24.293268,0.0030199473,608.39,1420.8866031169891
-0.0031646385,251904,123,251904,0.09523183107376099,350,482.54892601,0.038964845,1.7970686,24.524635,0.0035928166,627.25,1426.0612814426422
-0.0036295124,253952,124,253952,0.07360821962356567,303,499.35714027,0.049707033,1.7994328,24.587513,0.0041479887,646.57,1431.9002685546875
-0.001800032,256000,125,256000,0.17066878080368042,307,516.04899087,0.02734375,1.7896541,23.886597,0.0027207162,665.43,1438.639386177063
-0.004957199,258048,126,258048,0.1333262324333191,379,532.84045733,0.05649414,1.7917881,23.226723,0.0047613173,684.78,1445.3089966773987
-0.0017143728,260096,127,260096,0.16271483898162842,418,549.5211311800001,0.042773437,1.7989776,22.535336,0.0038845458,704.05,1450.7075028419495
-0.003617046,262144,128,262144,0.0015392899513244629,321,565.9163280500001,0.039013673,1.8102868,22.614431,0.0034678592,723.02,1455.5977487564087
-0.007997714,264192,129,264192,0.12799036502838135,293,582.6306407300002,0.056640625,1.8215644,22.27045,0.0045598606,742.08,1461.9787802696228
-0.0017492895,266240,130,266240,0.10833120346069336,267,599.2160060900001,0.025097657,1.8384253,21.988346,0.0025595087,761.33,1468.9558610916138
-0.0011881671,268288,131,268288,0.11402803659439087,263,615.6145040000001,0.025,1.8409727,21.32344,0.0026472413,780.13,1476.6238148212433
-0.0022483496,270336,132,270336,0.20168441534042358,401,632.2098520200001,0.038330078,1.841708,21.911863,0.0034707796,799.03,1484.3999977111816
-0.0066087306,272384,133,272384,0.06193721294403076,326,648.87967354,0.046533205,1.8456097,21.634672,0.004078679,818.34,1489.5001289844513
-0.0039321235,274432,134,274432,0.0718832015991211,331,665.46560457,0.03569336,1.8577144,20.941158,0.0033308254,837.27,1495.7672247886658
-0.0056732385,276480,135,276480,0.1270788311958313,277,665.53239571,0.05629883,1.8706118,20.718105,0.0046708686,837.29,1501.9469351768494
-0.0005486921,278528,136,278528,0.08905810117721558,305,681.9101964700001,0.013085937,1.8830016,20.893307,0.0018255819,856.14,1509.3343031406403
-0.0025250353,280576,137,280576,0.160758376121521,335,698.70519979,0.039208986,1.8816993,20.947414,0.0034232945,875.51,1516.028781414032
