total_timesteps,ep_reward_mean,clipfrac,value_loss,explained_variance,fps,ep_len_mean,time_elapsed,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps
323584,0.0,0.049853515,7.732234e-08,-2.323690176010132,419,749.08,766.4750652313232,0.8832041,-0.00095095404,0.0044888253,158,323584
325632,0.0,0.0362793,9.226257e-08,-1.064439058303833,409,748.74,771.3563935756683,0.8751106,-0.00014601977,0.0033259601,159,325632
327680,0.0,0.06782226,5.6281017e-08,-0.4885587692260742,421,744.92,776.3566236495972,0.8706333,-0.0032963466,0.0056734104,160,327680
329728,0.0,0.058447264,3.847037e-08,-1.5837047100067139,427,740.59,781.2156414985657,0.86618555,-0.00095961,0.0048470935,161,329728
331776,0.0,0.055859376,1.4588788e-06,-1.3860321044921875,439,734.28,786.0116701126099,0.8654234,-0.0024660653,0.0046093217,162,331776
333824,0.0,0.059179686,1.072803e-06,-0.3041926622390747,408,725.36,790.6712439060211,0.8726281,-0.001131219,0.0048955954,163,333824
335872,0.0,0.072314456,6.412904e-06,0.04506272077560425,429,719.9,795.6814279556274,0.8891918,-0.0018415417,0.0055019697,164,335872
337920,0.0,0.054052733,1.8686515e-06,-0.49991893768310547,423,711.86,800.4536082744598,0.89424515,-0.0016877983,0.0044396804,165,337920
339968,0.0,0.054638673,3.966617e-06,-0.3186599016189575,394,704.44,805.2878284454346,0.8913949,-0.0020162612,0.0045030536,166,339968
342016,0.0,0.051708985,4.710413e-06,-0.2758140563964844,411,698.51,810.4818530082703,0.89918125,-0.0020263204,0.0042176372,167,342016
344064,0.0,0.05283203,8.3594233e-07,-0.17485523223876953,424,690.38,815.4548354148865,0.90430415,-0.0019582086,0.0043991045,168,344064
346112,0.0,0.055615235,2.3110863e-06,-0.13842558860778809,409,683.75,820.2771344184875,0.9127717,-0.0032010027,0.0047810297,169,346112
348160,0.0,0.032910157,2.690387e-07,-0.11351644992828369,412,679.88,825.2777252197266,0.91327065,-0.0013186241,0.003335623,170,348160
350208,0.0,0.076171875,2.0832037e-07,-0.06794333457946777,441,676.43,830.246232509613,0.9012305,-0.004910647,0.0062521687,171,350208
352256,0.0,0.06064453,5.259335e-05,-0.23504185676574707,412,672.74,834.887672662735,0.899222,-0.003355547,0.004902688,172,352256
354304,0.0,0.034863282,6.275148e-08,-0.1496649980545044,430,668.45,839.8495826721191,0.8974121,-0.00088845537,0.0032711872,173,354304
356352,0.0,0.054296874,5.0538937e-08,-0.27693724632263184,433,665.86,844.6111536026001,0.88939583,-0.00068051403,0.004630969,174,356352
358400,0.0,0.050048828,6.75952e-08,-0.455987811088562,421,662.05,849.3422071933746,0.89770097,-0.0021078342,0.0044517927,175,358400
360448,0.0,0.04575195,9.329213e-08,-0.5926556587219238,419,658.72,854.202406167984,0.91387016,-0.0009319158,0.004126987,176,360448
362496,0.0,0.05029297,5.289984e-08,-0.5485131740570068,426,657.09,859.085223197937,0.9203027,-0.0012239495,0.004478556,177,362496
364544,0.0,0.06064453,1.270396e-07,-1.093031883239746,435,651.65,863.8875598907471,0.9187087,-0.0058766613,0.004899786,178,364544
366592,0.0,0.064697266,8.902879e-06,-1.6505825519561768,414,648.5,868.5921745300293,0.9238965,-0.003728681,0.005195516,179,366592
368640,0.0,0.03540039,4.2006423e-06,-0.1819363832473755,427,646.23,873.5400586128235,0.91965276,-0.00026894145,0.0034184207,180,368640
370688,0.0,0.045214843,1.0425008e-06,-0.13867712020874023,434,644.32,878.333417892456,0.9192287,-0.002809281,0.0038822289,181,370688
372736,0.0,0.034179688,4.773591e-07,-0.1410754919052124,415,643.99,883.047856092453,0.9069718,-0.0023948872,0.0035240133,182,372736
374784,0.0,0.047558594,1.3297885e-06,-0.011349797248840332,407,641.31,887.9724197387695,0.891348,-0.0015867188,0.0040881177,183,374784
376832,0.0,0.08120117,2.1485306e-05,-0.029600977897644043,405,640.86,892.9970760345459,0.90181875,-0.0059256544,0.006531123,184,376832
