ep_len_mean,policy_loss,explained_variance,n_updates,time_elapsed,policy_entropy,serial_timesteps,fps,total_timesteps,value_loss,ep_reward_mean,approxkl,clipfrac
217.16,-0.0010705726,0.9557885862886906,170,1045.2916584014893,0.4522079,348160,336,348160,1.7814047,53.86,0.0071562617,0.083544925
218.3,-0.0010031585,0.9927335847169161,171,1051.3859148025513,0.44901475,350208,333,350208,0.95277596,54.64,0.003716357,0.042529296
217.52,-0.00077254284,0.9689071327447891,172,1057.5377390384674,0.44472504,352256,336,352256,1.7309967,53.95,0.00422853,0.04814453
216.63,-0.00090434606,0.9814371298998594,173,1063.6339089870453,0.4409585,354304,337,354304,2.5583396,53.67,0.005426694,0.0652832
219.46,0.0004012188,0.9605898931622505,174,1069.703072309494,0.4446988,356352,333,356352,3.1398702,55.29,0.0023321977,0.022851562
219.17,-0.0013018069,0.9888976328074932,175,1075.8385872840881,0.44216886,358400,338,358400,0.8039268,54.77,0.0052097174,0.06225586
215.25,-0.0020284394,0.9889620337635279,176,1081.9019153118134,0.43332472,360448,335,360448,1.3046268,52.91,0.005933632,0.07172851
213.84,-0.00081598136,0.9919767472893,177,1088.0008289813995,0.43455586,362496,335,362496,1.4302837,52.07,0.00505432,0.059179686
218.45,-0.0027649582,0.9944510776549578,178,1094.1091043949127,0.41469985,364544,341,364544,0.6944738,55.95,0.0067494093,0.08359375
215.83,0.0004617264,0.9812061712145805,179,1100.1116454601288,0.40062824,366592,335,366592,3.3828995,53.41,0.0024968174,0.022607422
216.33,-0.003885181,0.9770000278949738,180,1106.2257363796234,0.40063268,368640,334,368640,1.7931029,53.66,0.006599491,0.08120117
217.0,-0.002837803,0.9897748017683625,181,1112.3451964855194,0.40281385,370688,333,370688,2.0642467,54.38,0.004837352,0.06074219
216.81,-0.000322352,0.9837042633444071,182,1118.4952192306519,0.40727082,372736,342,372736,0.76107574,54.13,0.00510277,0.06171875
220.17,-0.00045424755,0.9883101247251034,183,1124.4791536331177,0.40223297,374784,330,374784,2.932493,57.1,0.0054137046,0.061621092
219.79,-0.0038914438,0.9904891131445765,184,1130.6765403747559,0.39873177,376832,337,376832,1.503717,56.65,0.0066106976,0.08432617
221.85,0.0020485292,0.9866828164085746,185,1136.7491540908813,0.4055338,378880,333,378880,1.7447021,58.63,0.004087201,0.045556642
223.61,-0.00051455863,0.9736247211694717,186,1142.8874197006226,0.40886727,380928,336,380928,2.8136833,59.35,0.0051873755,0.060595702
223.88,0.0017346755,0.9935679505579174,187,1148.9774072170258,0.4073525,382976,339,382976,1.0810356,58.77,0.0053205816,0.06303711
221.25,-0.002088537,0.9566694423556328,188,1155.017995595932,0.3994345,385024,341,385024,2.2610745,55.97,0.0042709233,0.047607422
221.36,-0.0016600589,0.9932520370930433,189,1161.0143530368805,0.39498585,387072,333,387072,1.2000597,56.26,0.0056796623,0.06689453
222.88,-0.00060445454,0.9915036931633949,190,1167.1498064994812,0.40612754,389120,331,389120,1.9383881,57.58,0.00434025,0.053027343
226.23,-0.0005308006,0.9921795595437288,191,1173.3260967731476,0.40246472,391168,337,391168,1.5989777,60.89,0.0037100571,0.039404295
226.03,6.547942e-05,0.9923161021433771,192,1179.3921370506287,0.39256045,393216,338,393216,1.7903364,61.4,0.0043925317,0.05102539
226.02,0.001022641,0.988579336553812,193,1185.438548564911,0.3986105,395264,333,395264,1.7688863,62.03,0.0028538818,0.029101562
227.45,0.0007052947,0.9930246905423701,194,1191.580514907837,0.40537262,397312,333,397312,1.4297457,63.36,0.004252943,0.0496582
223.64,-0.0012499319,0.9908417370170355,195,1197.727460861206,0.39892834,399360,335,399360,1.0823363,61.1,0.006034073,0.07578125
221.83,-0.0017011154,0.9936078418977559,196,1203.8414430618286,0.38652727,401408,336,401408,0.41957062,60.2,0.00544929,0.06391601
222.87,-0.00075592863,0.988150523044169,197,1209.9309158325195,0.36828464,403456,336,403456,2.3948762,62.29,0.004439938,0.04863281
221.69,0.0036776718,0.9837453197687864,198,1216.0220687389374,0.3515193,405504,336,405504,2.7443511,61.75,0.0061543067,0.06953125
221.55,0.0012814186,0.9719149824231863,199,1222.1148250102997,0.3492845,407552,340,407552,1.4265438,60.94,0.0050534,0.060058594
219.06,-0.001965197,0.9916001865640283,200,1228.1384811401367,0.3508832,409600,343,409600,0.6800526,59.42,0.005446164,0.067871094
215.45,-0.001617128,0.9898765161633492,201,1234.098586320877,0.35144278,411648,339,411648,1.4083691,55.28,0.0036522064,0.040478516
214.99,-0.0016319234,0.9949595243670046,202,1240.1362102031708,0.3381818,413696,332,413696,0.522941,55.62,0.0068631135,0.08046875
