total_timesteps,serial_timesteps,ep_len_mean,approxkl,n_updates,clipfrac,time_elapsed,fps,ep_reward_mean,policy_loss,explained_variance,value_loss,policy_entropy
348160,348160,259.82,0.004244289,170,0.04897461,916.7582678794861,377,0.0,-0.0024908006,0.5438207387924194,1.713822e-06,0.7295318
350208,350208,263.28,0.0039146254,171,0.04160156,922.1864094734192,379,0.0,-0.0015360373,0.5999082922935486,1.3879418e-05,0.73110735
352256,352256,267.74,0.004787283,172,0.054541014,927.58172082901,405,0.0,-0.0035234012,0.648677408695221,1.9065925e-06,0.71853113
354304,354304,271.96,0.005155743,173,0.05859375,932.6383476257324,410,0.0,-0.0038171757,0.657090425491333,1.0364809e-06,0.70546323
356352,356352,279.77,0.0059350487,174,0.0715332,937.62495470047,401,0.0,-0.0045210337,0.6969770193099976,5.544774e-07,0.69861907
358400,358400,285.56,0.0058743646,175,0.07128906,942.7249929904938,423,0.0,-0.0052371346,0.6480836272239685,1.1910508e-06,0.7042622
360448,360448,291.95,0.007301462,176,0.09091797,947.5648603439331,383,0.0,-0.0045774532,0.5891472399234772,1.5371234e-06,0.7047571
362496,362496,302.62,0.005245763,177,0.062060546,952.9092729091644,382,0.0,-0.0023890634,0.5525591671466827,4.3660198e-06,0.7029702
364544,364544,311.34,0.005034976,178,0.060058594,958.2586758136749,387,0.0,-0.0024902893,0.39152997732162476,4.8771317e-06,0.70461315
366592,366592,322.43,0.006425933,179,0.077783205,963.5452432632446,419,0.0,-0.002760951,0.4606456160545349,1.2217211e-05,0.72088915
368640,368640,337.98,0.004321274,180,0.05102539,968.4283471107483,407,0.0,-0.0032263747,0.4093378186225891,1.8386996e-06,0.74926883
370688,370688,351.33,0.004869026,181,0.058251955,973.4561455249786,407,0.0,-0.0030362436,0.34104305505752563,1.3907236e-06,0.75693244
372736,372736,361.83,0.0046154917,182,0.05205078,978.4772202968597,364,0.0,-0.0027918413,0.19147807359695435,1.1519064e-06,0.74504447
374784,374784,372.96,0.005972737,183,0.07709961,984.0962011814117,410,0.0,-0.005325952,-0.03317713737487793,9.0691055e-06,0.74163985
376832,376832,386.29,0.005467364,184,0.06704102,989.0887351036072,417,0.0,-0.004370437,0.07365375757217407,1.1217735e-06,0.74397665
378880,378880,394.6,0.0057780533,185,0.068115234,994.0007288455963,402,0.0,-0.0059406348,-0.3002033233642578,1.5084096e-06,0.737383
380928,380928,401.8,0.004835185,186,0.058007814,999.095668554306,392,0.0,-0.005804265,-0.5058053731918335,7.3261244e-06,0.73611885
382976,382976,406.47,0.0041146176,187,0.050830077,1004.308648109436,377,0.0,-0.002318534,-0.8106013536453247,1.0611247e-06,0.7445102
385024,385024,414.49,0.0052188747,188,0.062158205,1009.741108417511,403,0.0,-0.00687702,0.14497023820877075,1.676353e-06,0.7579364
387072,387072,422.65,0.0050063883,189,0.06328125,1014.8118538856506,386,0.0,-0.006026267,0.18728333711624146,6.0337265e-07,0.7717522
389120,389120,430.33,0.0054595624,190,0.06552734,1020.1079046726227,397,0.0,-0.005908136,0.18894559144973755,1.1453865e-06,0.7734343
391168,391168,445.9,0.0054151993,191,0.058300782,1025.2563457489014,419,0.0,-0.006854373,0.18089240789413452,5.01259e-06,0.7574165
