time_elapsed,explained_variance,clipfrac,total_timesteps,approxkl,policy_loss,n_updates,policy_entropy,fps,serial_timesteps,ep_reward_mean,value_loss,ep_len_mean
15177.36665558815,0.973995441570878,0.15146485,3962880,0.018328227,-0.0016422849,1935,0.53723544,266,3962880,165.82390382999998,1.6774585,386.36
15185.04153585434,0.9900607857853174,0.15576172,3964928,0.020223267,-0.011404273,1936,0.5419465,264,3964928,167.08883895,0.5569302,388.82
15192.788960933685,0.9692966267466545,0.15786132,3966976,0.017063668,-0.006416423,1937,0.5523273,266,3966976,178.14343689,2.5082576,409.0
15200.487835645676,0.9671897701919079,0.12856445,3969024,0.014296179,-0.007581392,1938,0.5710504,267,3969024,162.54406953999995,4.504396,370.88
15208.140980958939,0.9708136133849621,0.15107422,3971072,0.016876457,-0.0043921964,1939,0.5784958,263,3971072,164.86956610000001,2.6689324,373.24
15215.900784492493,0.8816302344202995,0.1584961,3973120,0.01814941,-0.0008057733,1940,0.5702553,274,3973120,164.86956610000001,5.7370176,373.24
15223.36339521408,0.8708344846963882,0.11928711,3975168,0.011562768,-0.006564076,1941,0.56416553,274,3975168,179.41404338,11.978112,391.85
15230.833059310913,0.9731765035539865,0.14941406,3977216,0.015122211,-0.0025363588,1942,0.56212085,266,3977216,183.65276121,3.2700818,398.26
15238.517722129822,0.974581990391016,0.12568359,3979264,0.012310135,-0.0030182095,1943,0.5545587,262,3979264,192.07239363,1.6395504,414.88
15246.316772699356,0.9567009173333645,0.13710937,3981312,0.013920745,-0.0024384917,1944,0.5430526,269,3981312,196.55321813000003,4.1960974,423.71
15253.909532546997,0.880869947373867,0.14541015,3983360,0.01620822,-0.002757132,1945,0.5341473,265,3983360,196.75395061999998,6.1069093,425.87
15261.627968549728,0.9657349400222301,0.14570312,3985408,0.016040454,-0.004552819,1946,0.52334064,267,3985408,202.32508461,2.895218,436.16
15269.2746925354,0.9000655263662338,0.16049805,3987456,0.01696119,-0.004601655,1947,0.52052706,266,3987456,208.17296258,4.5462894,447.9
15276.967462539673,0.738566130399704,0.1621582,3989504,0.0164948,-0.004568274,1948,0.50750345,287,3989504,208.17296258,10.069208,447.9
15284.103989839554,0.9581678248941898,0.14057617,3991552,0.014233662,-0.008960845,1949,0.50156844,265,3991552,229.76589043999996,4.130088,478.12
15291.805120944977,0.9544550217688084,0.14140625,3993600,0.0940519,-0.0069970516,1950,0.51013905,268,3993600,234.25098882999995,4.3104033,484.19
15299.457446575165,0.9698811285197735,0.13188477,3995648,0.013012826,-0.0027324993,1951,0.5002786,267,3995648,233.21525747000004,2.5038476,475.91
15307.119168996811,0.8483863025903702,0.16542968,3997696,0.017634746,-0.0014229793,1952,0.4935378,279,3997696,233.21525747000004,3.8048062,475.91
15314.447579622269,0.8726787567138672,0.14902344,3999744,0.014535706,0.0052198623,1953,0.4900403,277,3999744,233.21525747000004,3.0227876,475.91
15321.824427843094,0.9543352015316486,0.15322265,4001792,0.04015864,-0.011761424,1954,0.4838596,274,4001792,273.22120416000007,3.9411957,533.84
15329.287418603897,0.9768128972500563,0.14936523,4003840,0.014523285,-0.0030342273,1955,0.48433417,265,4003840,278.46018050999993,2.6844969,544.18
15336.999945402145,0.9546053260564804,0.14404297,4005888,0.014584218,-0.005767775,1956,0.49369135,266,4005888,279.28180749,5.8937683,545.57
15344.69782447815,0.8317786753177643,0.14145508,4007936,0.0142477695,-0.003880044,1957,0.51474476,258,4007936,280.75991933,4.243934,548.77
15352.61190533638,0.963531993329525,0.16992188,4009984,0.021681262,-0.012505296,1958,0.5419963,269,4009984,293.66413869,4.284196,573.3
15360.210550069809,0.9839757177978754,0.14658204,4012032,0.014525342,-0.010772113,1959,0.5568931,271,4012032,290.19500446,1.8448842,566.06
15367.768021345139,0.9840867053717375,0.15253906,4014080,0.014322819,-0.007628108,1960,0.5600761,266,4014080,286.91182511,1.3924758,558.95
15375.455237150192,0.8499923199415207,0.12998047,4016128,0.01403029,-0.008977762,1961,0.55112875,271,4016128,296.08851744000003,7.9734626,574.64
15382.99682211876,0.954247273504734,0.16274413,4018176,0.01749606,-0.009285891,1962,0.52651805,278,4018176,298.21951844,3.0091188,578.64
