ep_reward_mean,time_elapsed,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,value_loss,clipfrac,policy_entropy,approxkl,total_timesteps
67.89,1680.5247075557709,0.999056146829389,647168,151.07,316,402,0.0023144244,0.14469585,0.09428711,0.43173686,0.008007476,647168
69.26,1685.6172575950623,0.9986573258647695,649216,152.93,317,426,0.00063107815,0.35300162,0.06962891,0.42296487,0.0057128426,649216
68.96,1690.4187715053558,0.99931558908429,651264,152.71,318,374,-0.0024344176,0.112078205,0.13076171,0.41525397,0.01030695,651264
69.45,1695.890730381012,0.9988871342502534,653312,152.95,319,365,-0.0021838213,0.24804683,0.08706055,0.40502223,0.0070403116,653312
65.78,1701.5027844905853,0.998956709750928,655360,149.59,320,363,-0.0025984338,0.15699421,0.10273437,0.3982113,0.008124606,655360
67.49,1707.1375818252563,0.9978444769512862,657408,151.64,321,413,0.0006087098,0.544572,0.057958983,0.40511936,0.0050217747,657408
66.58,1712.0969960689545,0.9983994301874191,659456,150.98,322,380,0.0026945083,0.38734347,0.0668457,0.4186893,0.0055503333,659456
70.82,1717.4846091270447,0.9976154151372612,661504,155.26,323,391,-0.00015931649,0.8493503,0.06508789,0.42265496,0.005397036,661504
70.67,1722.7235321998596,0.998772204387933,663552,155.6,324,346,0.0030612308,0.26751974,0.08696289,0.4260884,0.007733398,663552
70.18,1728.6372973918915,0.9984177802689373,665600,155.57,325,407,0.002927257,0.28635234,0.08095703,0.4328863,0.006352945,665600
68.4,1733.6652491092682,0.9955164878629148,667648,154.89,326,413,-0.0015873697,0.8230252,0.10727539,0.43628174,0.008831715,667648
70.76,1738.6239280700684,0.9983658717246726,669696,156.51,327,364,-0.00039049773,0.5262233,0.05986328,0.4409886,0.005263712,669696
70.78,1744.2368156909943,0.9979855024721473,671744,157.02,328,389,0.0018328003,0.7001166,0.07524414,0.44497198,0.006037495,671744
75.45,1749.5017957687378,0.9986871634609997,673792,160.52,329,391,-0.0018355937,0.28047472,0.10883789,0.4419295,0.008267583,673792
77.74,1754.737664937973,0.9974784501828253,675840,162.41,330,370,0.0014102863,0.75669956,0.075683594,0.43552715,0.00642339,675840
73.41,1760.2736167907715,0.9990327834966592,677888,158.28,331,412,0.0010390329,0.2396231,0.109716795,0.4301858,0.008520504,677888
71.9,1765.2370207309723,0.9982356979744509,679936,156.86,332,406,0.0025055478,0.36784756,0.06762695,0.44150394,0.005574641,679936
74.02,1770.2725839614868,0.998732139938511,681984,157.81,333,393,-0.0033326019,0.259458,0.09604492,0.4554481,0.007523755,681984
77.52,1775.476418018341,0.9986229320056736,684032,160.21,334,420,0.003427957,0.4213902,0.08359375,0.45194545,0.0069309645,684032
73.3,1780.3526990413666,0.9987854828359559,686080,156.64,335,397,0.0008043128,0.3134393,0.07075195,0.4490823,0.0056721726,686080
71.98,1785.500752210617,0.9976720802951604,688128,155.33,336,418,-0.00018085328,0.42424956,0.10942383,0.46465698,0.0088125225,688128
70.81,1790.3957359790802,0.9984120830195025,690176,154.03,337,334,0.003121236,0.36274904,0.09296875,0.4679903,0.0077505386,690176
74.38,1796.5239033699036,0.9989361981861293,692224,156.58,338,383,-0.0033921716,0.24356854,0.12573242,0.4566583,0.010134051,692224
73.53,1801.871511220932,0.9978563534095883,694272,155.3,339,411,-0.0014691878,0.36992437,0.10429688,0.4693429,0.008530838,694272
76.11,1806.8513629436493,0.9988588227424771,696320,157.11,340,382,-0.0010333415,0.28372124,0.07705078,0.47791782,0.0061153704,696320
75.75,1812.2066009044647,0.9968355279415846,698368,156.86,341,379,0.0038011868,0.9530611,0.084423825,0.46949887,0.0075960224,698368
75.81,1817.6080355644226,0.9988813471281901,700416,155.86,342,397,0.00076171715,0.2004207,0.07758789,0.45504707,0.006734308,700416
74.6,1822.768179655075,0.998845549649559,702464,153.88,343,406,-0.00089523837,0.19467345,0.109277345,0.44370508,0.008490257,702464
77.23,1827.8032658100128,0.9975681805517524,704512,155.97,344,445,0.0016522923,0.5082066,0.072314456,0.44567078,0.0057097427,704512
76.37,1832.4043138027191,0.9962617743294686,706560,155.25,345,410,0.0023121345,1.113703,0.06977539,0.45219326,0.005552218,706560
74.64,1837.3944878578186,0.9944172748364508,708608,154.22,346,427,0.0001299602,1.1508985,0.08095703,0.4592518,0.0066001667,708608
74.66,1842.1839079856873,0.9947439795359969,710656,154.48,347,405,-0.00027578606,1.1953194,0.06552734,0.45477623,0.005539481,710656
73.12,1847.2393057346344,0.9965975261293352,712704,153.01,348,418,0.003176263,1.0209552,0.08413086,0.45145068,0.006519244,712704
70.28,1852.134904384613,0.9976624215487391,714752,150.98,349,399,0.0014049982,0.40443915,0.05961914,0.44755325,0.0052417745,714752
74.08,1857.2671389579773,0.994212165940553,716800,155.63,350,366,-0.0029258695,2.3615851,0.09663086,0.43416658,0.007468004,716800
