fps,value_loss,explained_variance,total_timesteps,policy_loss,serial_timesteps,time_elapsed,n_updates,ep_len_mean,ep_reward_mean,approxkl,policy_entropy,clipfrac
303,19.64756,0.0262070894241333,323584,-5.349298e-05,323584,1138.7861037254333,158,1556.39,1514.6295762100003,0.0012731196,2.7259307,0.007080078
285,19.674675,0.03802824020385742,325632,-0.0036618623,325632,1145.532795906067,159,1571.74,1529.8285184900003,0.004602298,2.7376754,0.054052733
300,20.048216,-0.00029349327087402344,327680,-0.0022337702,327680,1152.7206647396088,160,1586.48,1544.66988274,0.0047883,2.733087,0.062646486
298,19.99291,-0.0005882978439331055,329728,-0.0011028796,329728,1159.547660112381,161,1600.66,1558.96662851,0.0040709022,2.7382798,0.050683595
301,19.90156,0.013205349445343018,331776,-0.0006563465,331776,1166.4106369018555,162,1614.44,1572.7907077700002,0.0037658059,2.7476459,0.04018555
300,20.113525,-0.006412863731384277,333824,-0.0005977497,333824,1173.200954914093,163,1629.62,1587.9062949099998,0.0014799389,2.7416792,0.009375
300,20.010145,-0.00046193599700927734,335872,-0.00010957193,335872,1180.025238752365,164,1644.82,1603.06953503,0.0020605433,2.733838,0.016992187
299,19.697742,0.020324230194091797,337920,0.00027642417,337920,1186.8376441001892,165,1661.15,1619.28307404,0.004362622,2.7366662,0.05258789
300,19.869595,0.013175010681152344,339968,-0.00096695905,339968,1193.6701068878174,166,1674.66,1632.6938189000002,0.0028569559,2.7435906,0.029589843
303,20.08357,0.004623055458068848,342016,-0.00071195577,342016,1200.4896149635315,167,1688.53,1646.48103459,0.0023349216,2.7553573,0.022851562
291,20.071003,-0.00404512882232666,344064,-0.00034079675,344064,1207.2391839027405,168,1698.64,1656.6608047099999,0.0024657354,2.760445,0.0203125
287,19.937435,0.011116981506347656,346112,-0.00067767326,346112,1214.2659678459167,169,1708.65,1666.83193933,0.0018384082,2.7628632,0.013134765
304,19.973621,-0.012483835220336914,348160,-0.0002051573,348160,1221.3977658748627,170,1722.27,1680.4192955099998,0.0018852189,2.7718217,0.016357422
290,19.056017,0.07985913753509521,350208,-0.0031914394,350208,1228.1361737251282,171,1734.75,1692.8601646799998,0.005738898,2.7734754,0.06889649
286,19.59216,0.007458150386810303,352256,-0.001472765,352256,1235.1961867809296,172,1746.81,1704.7436849599999,0.0028516108,2.7802975,0.03125
289,19.345816,0.05162543058395386,354304,-0.0027257008,354304,1242.336562871933,173,1760.88,1718.65715069,0.0046447795,2.7883697,0.059814453
288,19.597958,0.024550914764404297,356352,-0.00342132,356352,1249.4234340190887,174,1775.31,1733.0788562400003,0.0054241302,2.790522,0.072265625
293,20.02091,0.005335807800292969,358400,-0.003593896,358400,1256.5308418273926,175,1787.72,1745.6788946000001,0.005568481,2.7948148,0.06762695
305,19.921915,0.020027518272399902,360448,-0.000114874485,360448,1263.511487007141,176,1800.18,1758.11511476,0.0024105972,2.795608,0.017919922
304,20.08151,-0.005688667297363281,362496,-0.0028493183,362496,1270.2181568145752,177,1816.1,1773.83691164,0.005146433,2.807563,0.066308595
302,19.529648,0.04609400033950806,364544,-0.0018959973,364544,1276.9347851276398,178,1827.65,1785.22958143,0.0042806487,2.8227816,0.053710938
304,19.99579,-0.006692171096801758,366592,-0.00081222056,366592,1283.7136719226837,179,1837.52,1795.1348956999998,0.0033128704,2.812923,0.032226562
274,19.958624,-0.009770512580871582,368640,-0.0013843492,368640,1290.4366867542267,180,1846.84,1804.5291131299998,0.003984954,2.8039966,0.04433594
303,19.862461,0.005746304988861084,370688,-0.00047145234,370688,1297.9068727493286,181,1854.29,1811.8618720600002,0.0033141482,2.8084064,0.035791017
305,19.879057,0.001601576805114746,372736,-0.0012467438,372736,1304.6561827659607,182,1854.29,1811.8990069500003,0.003053404,2.8145862,0.03300781
303,19.192173,0.05255860090255737,374784,-0.0003202327,374784,1311.3643317222595,183,1858.82,1816.68708149,0.004411229,2.8172777,0.044873048
305,19.4945,0.04736220836639404,376832,8.5622516e-05,376832,1318.1109597682953,184,1867.26,1825.0080600000001,0.0019461391,2.817728,0.015283203
304,19.69788,0.01787698268890381,378880,-0.0030938962,378880,1324.8181400299072,185,1878.88,1836.69913238,0.004901097,2.8359673,0.058642577
304,19.98477,0.008926033973693848,380928,-0.002771902,380928,1331.540484905243,186,1890.44,1848.42572475,0.0063649206,2.8371727,0.08735351
305,20.39692,-0.0063021183013916016,382976,-0.0012867546,382976,1338.269285917282,187,1895.87,1854.1533512,0.0031793714,2.8271492,0.033496093
306,20.300423,-0.0008223056793212891,385024,0.00042620656,385024,1344.981083869934,188,1903.69,1862.25314017,0.0009650703,2.8275769,0.0025878907
302,20.321304,-0.0019664764404296875,387072,-0.001382801,387072,1351.6739437580109,189,1904.75,1863.84697893,0.0025963227,2.8381875,0.024658203
266,20.197865,-0.00035393238067626953,389120,-0.0007467262,389120,1358.4365439414978,190,1915.37,1874.6932684399999,0.0021248185,2.8343878,0.016455078
291,19.88387,0.022020339965820312,391168,-0.00090647285,391168,1366.1348917484283,191,1920.33,1880.1062195799998,0.0027629032,2.8262858,0.024609376
304,20.112104,0.004455149173736572,393216,-0.0063520996,393216,1373.1617059707642,192,1920.33,1880.5289803999997,0.009090593,2.828648,0.13344726
