fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
324,0.9500637501478195,0.0007208302,96,65.22,196608,4.7515244,0.93227226,0.0025318698,196608,568.3594303131104,0.024609376,206.57
327,0.9611671976745129,-0.0028846392,97,62.86,198656,1.767225,0.93064845,0.004566007,198656,574.6641039848328,0.05571289,200.98
328,0.9656477682292461,-0.002338281,98,58.15,200704,1.9075038,0.9291156,0.0040667113,200704,580.9136781692505,0.039892577,193.39
324,0.9505041614174843,-0.000990943,99,56.26,202752,8.123904,0.9186948,0.0036341157,202752,587.1480422019958,0.033740234,189.66
329,0.9518396817147732,4.32609e-05,100,53.45,204800,3.6036994,0.910514,0.0021126573,204800,593.4693977832794,0.018896485,185.35
323,0.9405192397534847,-0.00062520476,101,56.81,206848,11.864673,0.9061961,0.0022648452,206848,599.6942682266235,0.022705078,189.46
324,0.9603079073131084,0.0005343711,102,60.06,208896,5.091236,0.8950397,0.003083103,208896,606.0173916816711,0.029003907,191.14
324,0.9608960263431072,-0.006615051,103,57.61,210944,4.497834,0.8917367,0.0065506487,210944,612.330570936203,0.083740234,190.8
327,0.952242061495781,-0.00078194885,104,57.61,212992,8.757177,0.8928112,0.0029260109,212992,618.6368930339813,0.029101562,191.07
325,0.9709405824542046,-0.0010843591,105,60.17,215040,2.8248172,0.87843686,0.0048773196,215040,624.8858234882355,0.05234375,192.03
328,0.94878363981843,-0.003087508,106,61.55,217088,7.9668617,0.8506366,0.0062240106,217088,631.1857504844666,0.06381836,193.87
332,0.9585459195077419,-0.0013573415,107,63.52,219136,5.3556437,0.84550697,0.0030916377,219136,637.4213738441467,0.032177735,198.16
328,0.952978003770113,-0.00032268703,108,64.63,221184,4.202901,0.8372037,0.0020198196,221184,643.5795307159424,0.016748047,198.97
327,0.9626886174082756,-0.0019951789,109,62.26,223232,4.4270144,0.8301781,0.003805541,223232,649.8088507652283,0.04194336,197.86
328,0.9745901059359312,-0.00010618319,110,63.99,225280,2.9817393,0.83748484,0.0023356478,225280,656.069596529007,0.021679688,199.0
327,0.971433449536562,-6.462384e-05,111,61.81,227328,3.9243217,0.8426461,0.0023986797,227328,662.3014016151428,0.021191407,194.55
328,0.9680698961019516,0.00033866675,112,59.76,229376,3.2320373,0.8309864,0.0027790065,229376,668.5584630966187,0.022070313,192.03
330,0.9665190167725086,-0.0016695088,113,58.96,231424,4.2912216,0.81958944,0.0037022722,231424,674.7931234836578,0.03671875,189.84
327,0.9589325785636902,-0.0013011287,114,59.62,233472,5.6070604,0.8132478,0.003142042,233472,681.0001113414764,0.032714844,190.35
325,0.9534587860107422,-0.0011989758,115,58.29,235520,4.2026825,0.8036294,0.004352686,235520,687.2476942539215,0.05239258,189.4
331,0.9725592583417892,-0.0026651802,116,55.28,237568,3.0340474,0.7941655,0.003231214,237568,693.5362558364868,0.029248048,185.27
327,0.9726358447223902,-0.00029862561,117,56.11,239616,3.2598186,0.7883154,0.0029444718,239616,699.7190473079681,0.028125,183.86
327,0.9753516037017107,-0.0027745308,118,56.27,241664,3.4666233,0.77735984,0.0051634535,241664,705.9808311462402,0.059765626,182.88
330,0.9756231047213078,-0.0014398005,119,57.88,243712,3.3614552,0.76591206,0.0046028923,243712,712.2430775165558,0.0496582,185.31
326,0.9691891260445118,-0.0005371239,120,58.68,245760,6.479181,0.76162875,0.002585452,245760,718.443546295166,0.023779297,186.65
324,0.9808329027146101,-0.0011534902,121,59.65,247808,2.492106,0.75110686,0.0051635583,247808,724.7274403572083,0.05961914,186.78
326,0.9752310458570719,-0.0019348357,122,61.46,249856,3.0740306,0.74276114,0.0042328094,249856,731.0472993850708,0.046728514,188.43
315,0.9843878475949168,-0.0021040523,123,58.7,251904,1.7734258,0.7377082,0.004181202,251904,737.3227951526642,0.047802735,183.76
317,0.9745784271508455,-0.0003377901,124,60.17,253952,3.6747384,0.7318589,0.0040072743,253952,743.8215980529785,0.04472656,184.0
262,0.9759454783052206,0.00013808091,125,60.93,256000,2.4786696,0.7318096,0.0041635917,256000,750.2746698856354,0.052490234,184.64
314,0.950775183737278,-0.002189229,126,59.82,258048,4.071689,0.72299373,0.0043486757,258048,758.0857622623444,0.04902344,184.2
331,0.9681000001728535,-0.00083581934,127,57.88,260096,4.2856717,0.727548,0.0034461562,260096,764.6049075126648,0.03564453,181.89
330,0.9772804994136095,4.6863155e-05,128,55.86,262144,2.7491453,0.7364744,0.0027653459,262144,770.7917366027832,0.022998046,179.03
329,0.9792119767516851,-0.0015592976,129,56.87,264192,4.1693735,0.72396874,0.0040077707,264192,776.9839451313019,0.040234376,177.64
325,0.9837913326919079,-0.002787881,130,57.19,266240,2.8280149,0.723602,0.0049994243,266240,783.2040033340454,0.0578125,178.19
329,0.9739121962338686,-0.00046594403,131,56.5,268288,2.6612067,0.72721547,0.0040013143,268288,789.4970736503601,0.042675782,177.02
325,0.9791204370558262,-0.0004881487,132,54.87,270336,2.9845524,0.7230014,0.0032583487,270336,795.7072472572327,0.03178711,174.49
329,0.9870239784941077,-0.0015428273,133,56.12,272384,1.4676412,0.71278363,0.0043393094,272384,802.0072584152222,0.05053711,176.53
326,0.9834901168942451,-0.0035027761,134,57.44,274432,2.2800956,0.7035743,0.006586422,274432,808.2295734882355,0.08432617,177.32
324,0.9728097058832645,-0.0018043153,135,63.31,276480,6.3723326,0.6979455,0.003192506,276480,814.5030331611633,0.03261719,183.03
333,0.982887577265501,-0.00026563174,136,63.53,278528,1.4073786,0.6906393,0.0045366706,278528,820.81876039505,0.05053711,184.67
336,0.9782388061285019,-0.0013576966,137,65.34,280576,4.4895463,0.68199146,0.0035189465,280576,826.9669713973999,0.03691406,187.87
332,0.9862471437081695,-0.0017373015,138,62.75,282624,1.5360658,0.67226684,0.004146746,282624,833.0508999824524,0.045703124,187.17
333,0.9826777298003435,0.00035793387,139,61.04,284672,2.2497408,0.6599763,0.003962587,284672,839.2058608531952,0.038085938,186.37
332,0.9816655106842518,0.00082211324,140,60.97,286720,2.0497844,0.6459911,0.005303275,286720,845.3421969413757,0.06347656,187.87
310,0.9938074750825763,-0.0028720382,141,62.18,288768,0.7455688,0.6278201,0.0054441737,288768,851.5089826583862,0.06484375,189.85
330,0.9820626024156809,0.000747782,142,62.4,290816,3.2714448,0.61572176,0.00652671,290816,858.1085908412933,0.0765625,190.68
334,0.985897047445178,-0.006378456,143,61.07,292864,1.3726218,0.6051409,0.008717531,292864,864.3146035671234,0.11450195,187.25
327,0.9850012240931392,-0.0004834042,144,56.77,294912,1.5429251,0.5989146,0.004198432,294912,870.4413390159607,0.050683595,185.21
325,0.9742738585919142,0.00024418204,145,58.6,296960,6.117993,0.59964925,0.004175657,296960,876.7035717964172,0.04609375,187.64
330,0.9792541693896055,-0.002282499,146,58.32,299008,4.1792555,0.5985724,0.0048268647,299008,883.0031332969666,0.06074219,189.09
340,0.9906937060877681,0.0013408377,147,59.27,301056,1.0704519,0.6029837,0.0045564147,301056,889.1994938850403,0.05571289,190.44
329,0.9893200742080808,-0.0015406382,148,60.25,303104,2.0224204,0.61042064,0.0067574405,303104,895.2210118770599,0.08139648,190.56
332,0.9883989542722702,-0.00189399,149,61.91,305152,1.6921303,0.6049015,0.0047678384,305152,901.4344210624695,0.05620117,192.68
332,0.9785586688667536,-0.00024826784,150,60.32,307200,1.5522621,0.5925098,0.004687627,307200,907.6046576499939,0.056347657,193.33
329,0.9882374815642834,-0.00029181913,151,59.71,309248,1.8808752,0.582648,0.0040513487,309248,913.7643775939941,0.042626955,193.14
332,0.9908376643434167,-0.0017706113,152,60.67,311296,1.1714693,0.5821799,0.0038964655,311296,919.982752084732,0.045214843,195.07
329,0.989738067612052,-0.001021635,153,61.83,313344,2.2500355,0.5842589,0.0041762176,313344,926.1507983207703,0.04609375,195.43
328,0.9899374097585678,0.00087797595,154,63.85,315392,1.6173462,0.5753939,0.0033936482,315392,932.3712747097015,0.037890624,196.4
330,0.9878988964483142,0.0018070299,155,63.85,317440,3.3977642,0.577405,0.0062363828,317440,938.6149077415466,0.07382812,195.52
