total_timesteps,value_loss,clipfrac,fps,policy_entropy,serial_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed
329728,2.0025315,0.051611327,329,0.6593424,329728,0.0042728633,161,0.9892710112035275,66.02,-0.0051226825,213.38,1015.7657289505005
331776,1.7741449,0.07504883,325,0.6619109,331776,0.0057741194,162,0.9849191857501864,67.19,-0.0036644056,214.37,1021.9760963916779
333824,1.702699,0.026171874,328,0.6619604,333824,0.002566498,163,0.9907113378867507,68.12,0.0007795917,215.51,1028.2617814540863
335872,3.2546246,0.020410156,322,0.6638683,335872,0.0022381977,164,0.9881355930119753,70.35,-0.0007462384,220.22,1034.5066590309143
337920,5.5903554,0.052783202,319,0.6594657,337920,0.004627566,165,0.9838681276887655,74.35,-0.0023294128,226.41,1040.8513815402985
339968,0.84689176,0.039746094,328,0.653141,339968,0.0035697308,166,0.9907885938882828,74.85,-0.000777392,228.8,1047.263765335083
342016,1.9747655,0.06064453,327,0.65454865,342016,0.005046973,167,0.9890344813466072,77.05,-0.004757902,231.85,1053.4931011199951
344064,5.4136925,0.024951171,317,0.6484086,344064,0.0024901144,168,0.9807991944253445,80.08,-0.0007450968,236.59,1059.7459378242493
346112,3.670363,0.052441407,318,0.65094745,346112,0.0044620563,169,0.9840532019734383,77.9,-0.000512408,236.63,1066.1964480876923
348160,1.491218,0.0418457,321,0.6649048,348160,0.0037361593,170,0.988891570828855,76.38,-0.00010596057,237.24,1072.6187510490417
350208,1.1366514,0.05317383,324,0.6698326,350208,0.0046658306,171,0.9920038264244795,77.92,-0.0003876693,239.51,1078.9911983013153
352256,1.9856751,0.041064452,323,0.670389,352256,0.0036956668,172,0.981205515563488,73.28,-4.9715967e-05,236.64,1085.3025698661804
354304,2.8460994,0.06269531,330,0.66591614,354304,0.00521666,173,0.9871365539729595,70.87,-0.0038978602,235.28,1091.6352331638336
356352,1.1580621,0.025830079,326,0.6529499,356352,0.0027441422,174,0.9927266109734774,72.51,-0.0019484225,238.2,1097.8323352336884
358400,1.2256796,0.04111328,325,0.64491,358400,0.003840259,175,0.9886432001367211,70.85,-0.00069697516,237.82,1104.115921497345
360448,0.93445575,0.040722657,325,0.64141965,360448,0.0036920793,176,0.989869843237102,63.0,0.000373898,230.63,1110.4122776985168
362496,1.7809527,0.043896485,323,0.646789,362496,0.0036315038,177,0.9853883786126971,62.62,-0.00050603505,231.67,1116.7009453773499
364544,1.0353189,0.06523438,327,0.6554018,364544,0.005030429,178,0.9854966560378671,59.63,-0.001364462,229.7,1123.0244629383087
366592,1.1986066,0.044873048,322,0.655747,366592,0.003971408,179,0.9923454504460096,59.76,3.0784366e-05,231.05,1129.281492948532
368640,1.6551878,0.027197266,326,0.64987147,368640,0.0027843255,180,0.9902476258575916,57.83,0.00080764125,228.8,1135.6265230178833
370688,1.4023451,0.05131836,323,0.6301994,370688,0.0046698274,181,0.9857739005237818,56.54,-0.0014974825,228.64,1141.9010832309723
372736,0.9634546,0.048291016,329,0.6262088,372736,0.004202014,182,0.990907764993608,55.04,-0.0022718548,229.85,1148.2356262207031
374784,2.6272483,0.048095703,326,0.63003725,374784,0.004076228,183,0.989369154907763,57.56,-0.00247018,232.71,1154.4477093219757
376832,1.5285225,0.037744142,331,0.6339313,376832,0.0034004294,184,0.9784175865352154,57.04,-0.00075323915,235.04,1160.7198050022125
378880,0.57511836,0.062646486,330,0.63511,378880,0.005219916,185,0.9894664827734232,52.61,0.0004165126,231.78,1166.9046857357025
380928,1.6682631,0.043701172,325,0.6347893,380928,0.004080769,186,0.9907648228108883,54.42,-0.000463559,232.25,1173.1126630306244
382976,1.335233,0.06616211,326,0.6140288,382976,0.006159705,187,0.989209839142859,55.08,-0.004009116,233.05,1179.414920091629
385024,1.3582003,0.03300781,328,0.585739,385024,0.0033608098,188,0.9780490379780531,53.58,-0.00039020187,231.42,1185.691926240921
387072,1.6594307,0.052246094,328,0.5731055,387072,0.004539942,189,0.987184401601553,54.87,0.00012643085,232.89,1191.9273943901062
389120,1.1090717,0.039160155,322,0.5611191,389120,0.0034870454,190,0.9903880869969726,53.86,-0.0016763437,231.02,1198.1695404052734
391168,1.2004342,0.03334961,329,0.5591909,391168,0.0031876382,191,0.9920533234253526,53.38,-0.0015268023,230.83,1204.5159330368042
393216,1.4898343,0.036474608,324,0.5574377,393216,0.0034308205,192,0.9905597055330873,55.03,-0.0013815514,231.77,1210.727545261383
395264,2.9005084,0.041015625,326,0.551479,395264,0.0036587752,193,0.9908945942297578,58.25,-0.0010551199,231.97,1217.0455026626587
