n_updates,fps,ep_len_mean,explained_variance,time_elapsed,serial_timesteps,policy_loss,ep_reward_mean,clipfrac,total_timesteps,value_loss,policy_entropy,approxkl
119,293,918.5,0.7189774513244629,861.1531729698181,243712,-0.0019064829,887.1839625499998,0.02758789,243712,16.7905,2.524597,0.002870989
120,286,931.89,0.0010489225387573242,868.1270880699158,245760,-0.00012817275,900.51042353,0.010253906,245760,16.356571,2.519795,0.0017116476
121,294,938.44,0.7044486105442047,875.2743289470673,247808,-0.0019205771,906.8276263799999,0.029736329,247808,8.581638,2.5295446,0.002796228
122,288,954.16,0.0010477900505065918,882.2235198020935,249856,0.00027480553,922.2446825799999,0.0171875,249856,16.14369,2.53614,0.0020548971
123,290,969.2,0.006188750267028809,889.3289520740509,251904,-0.0014055279,937.10618769,0.036083985,251904,16.189482,2.5328832,0.0038175862
124,290,980.61,0.000578761100769043,896.3764698505402,253952,-0.001129627,948.4193169400002,0.0060546873,253952,16.625244,2.5415113,0.00087016576
125,291,996.71,-0.0026797056198120117,903.4304249286652,256000,-0.0006582559,964.40758914,0.0234375,256000,16.498941,2.552321,0.002412233
126,286,1011.27,0.2725958228111267,910.4595119953156,258048,-0.005073729,978.6909037300002,0.08549805,258048,15.475047,2.5500927,0.0064559407
127,288,1020.91,0.2286253571510315,917.598023891449,260096,-0.0016562256,987.9888577,0.05131836,260096,16.19611,2.5452583,0.0046790447
128,285,1037.78,-0.00363922119140625,924.7030749320984,262144,-0.0006594066,1004.77455672,0.04951172,262144,16.922453,2.542766,0.004310321
129,287,1052.69,-0.005153775215148926,931.8897049427032,264192,-0.004029026,1019.40982992,0.054492187,264192,16.896137,2.5539725,0.0047385194
130,285,1070.0,-0.0006059408187866211,939.0239019393921,266240,-0.00034699758,1036.63625913,0.013085937,266240,16.98333,2.5723662,0.0016061135
131,289,1085.78,0.0018605589866638184,946.198205947876,268288,0.00056716695,1052.30890694,0.010546875,268288,16.93251,2.575921,0.001691556
132,290,1103.3,0.7119762301445007,953.283597946167,270336,-0.0037383675,1069.71305971,0.03461914,270336,20.306293,2.5815878,0.0030636522
133,288,1117.46,0.045883357524871826,960.3343389034271,272384,-0.0013091437,1083.60703239,0.030273438,272384,16.431839,2.5935292,0.0029584137
134,281,1133.24,0.01652991771697998,967.4312579631805,274432,-0.00018891743,1099.14082094,0.005419922,274432,16.80206,2.5991483,0.0011260972
135,284,1149.27,0.0003803372383117676,974.6996269226074,276480,-0.0026722664,1114.97533072,0.06577148,276480,17.031261,2.6183388,0.0054037953
136,286,1165.61,-0.009120464324951172,981.8951048851013,278528,-0.0047812522,1131.28075029,0.038085938,278528,17.387966,2.63092,0.0035714183
137,285,1181.37,-0.004886507987976074,989.0487620830536,280576,-0.0005439962,1146.91967999,0.021044921,280576,17.607645,2.645772,0.0022054187
138,285,1196.72,-0.002530336380004883,996.2144439220428,282624,-0.00047713955,1162.3739116899999,0.013916016,282624,17.703312,2.6427836,0.001761578
139,286,1213.6,-0.002103567123413086,1003.3855500221252,284672,-1.5042257e-06,1179.20647053,0.060595702,284672,17.722576,2.640404,0.0051061916
140,287,1230.86,-0.0018880367279052734,1010.5366389751434,286720,-0.0020320877,1196.3715351199999,0.025146484,286720,17.729458,2.6476023,0.0025648286
141,288,1247.41,0.048315227031707764,1017.6714069843292,288768,-0.0008246706,1212.5926543,0.02578125,288768,17.145697,2.6573317,0.0026131466
142,290,1263.5,0.15263980627059937,1024.774621963501,290816,0.00079183484,1228.52379995,0.024560547,290816,16.125896,2.6576889,0.002551661
143,287,1278.27,0.03978854417800903,1031.8363099098206,292864,-0.00047994088,1243.0925031399997,0.04243164,292864,17.466673,2.6540987,0.0038224938
144,285,1292.9,0.901946559548378,1038.9516220092773,294912,-0.00090815796,1257.31558907,0.06508789,294912,7.5820074,2.655027,0.0054674023
145,286,1309.46,0.14502930641174316,1046.129604101181,296960,-0.0026891467,1273.6001867,0.04458008,296960,16.78095,2.6530278,0.0038953903
146,286,1325.47,-0.0021085739135742188,1053.2897729873657,299008,-0.001662134,1289.4755416300002,0.04248047,299008,18.77088,2.6457448,0.0037518807
147,285,1339.01,-0.0007196664810180664,1060.431205034256,301056,-0.0020484661,1303.07414599,0.04892578,301056,18.918186,2.6468484,0.004250223
148,284,1350.21,-0.0002830028533935547,1067.5986139774323,303104,0.0003076698,1314.3634433299999,0.016503906,303104,18.910984,2.657715,0.0018476773
149,283,1361.12,0.07168310880661011,1074.78648686409,305152,-0.0009792935,1325.3754828600001,0.032177735,305152,17.851055,2.6559665,0.0036174762
150,250,1374.78,-0.006675243377685547,1082.0137798786163,307200,-0.0006290778,1339.1047834600001,0.040625,307200,19.187302,2.664806,0.004303715
151,256,1389.72,0.04325366020202637,1090.2256729602814,309248,-0.0010445581,1354.0192349000001,0.032958984,309248,18.360815,2.6751978,0.003182882
152,277,1401.23,0.2748718857765198,1098.2012758255005,311296,-0.00262819,1365.42453902,0.06430664,311296,15.841914,2.6896334,0.0053048264
153,284,1415.12,0.01662677526473999,1105.5835418701172,313344,-0.0011016289,1379.2562608999997,0.025537109,313344,18.978323,2.69278,0.0027025177
154,283,1429.89,-0.007818937301635742,1112.7860019207,315392,-0.0038425394,1393.99123487,0.11855469,315392,19.410353,2.6919246,0.008477274
155,284,1439.52,0.026739180088043213,1120.0204708576202,317440,-0.00047343885,1403.7626864099998,0.051757812,317440,19.087704,2.6932957,0.0044412604
156,282,1453.09,-0.0007141828536987305,1127.219643831253,319488,-0.0011438543,1417.5426725899995,0.017822266,319488,19.638155,2.68347,0.0022718105
157,279,1464.41,-0.0038770437240600586,1134.4737508296967,321536,-4.359301e-05,1429.1068857899998,0.009179687,321536,19.590351,2.6753085,0.0011970812
158,283,1478.95,0.06703156232833862,1141.7906830310822,323584,-0.0060770838,1443.6356543599998,0.12480469,323584,18.616268,2.6648517,0.008850881
159,283,1486.62,0.0007000565528869629,1149.0150368213654,325632,0.00041309456,1451.4624068099997,0.03540039,325632,19.867352,2.6537962,0.0033214423
160,282,1499.48,0.0012468695640563965,1156.2360019683838,327680,-0.00044943238,1464.41122297,0.04111328,327680,19.816177,2.6519399,0.0036614109
161,284,1515.99,-0.015746235847473145,1163.4934749603271,329728,-0.00039104355,1480.8583572600003,0.039404295,329728,19.829727,2.6625843,0.0038479727
162,282,1529.67,0.00565260648727417,1170.6963901519775,331776,-0.0010576362,1494.5834568500004,0.05996094,331776,19.685617,2.674641,0.0047932407
163,281,1543.49,0.0028197765350341797,1177.9440689086914,333824,-0.0020046146,1508.5111863300003,0.018945312,333824,19.821087,2.6920114,0.0022454883
164,285,1558.1,-0.0012826919555664062,1185.2216749191284,335872,5.9681413e-05,1523.1856403800002,0.02607422,335872,19.920664,2.7052844,0.0029419458
165,288,1573.08,-0.004929900169372559,1192.4026160240173,337920,-0.0002874112,1538.2337491300007,0.020458985,337920,19.916225,2.7029362,0.002214985
166,284,1587.48,-0.0032595396041870117,1199.5073478221893,339968,-0.0005860688,1552.6623204300006,0.021582032,339968,19.839483,2.7081666,0.0022395293
167,283,1604.18,-0.0028918981552124023,1206.699168920517,342016,-0.00323318,1569.4243368200002,0.0765625,342016,19.840172,2.7201562,0.0062792674
168,281,1620.35,-0.0011824369430541992,1213.9266428947449,344064,-0.0018931959,1585.65383995,0.04321289,344064,19.729153,2.7265973,0.0036913
169,284,1634.71,0.003446042537689209,1221.1948840618134,346112,-0.0005043391,1600.12347039,0.008251953,346112,19.814447,2.7305794,0.0017044805
170,282,1648.98,-0.00711369514465332,1228.3908109664917,348160,-0.0028947957,1614.49604391,0.021142578,348160,19.970753,2.7295606,0.002236565
171,282,1662.28,-0.0026019811630249023,1235.631854057312,350208,-0.0025075853,1627.8259996299998,0.08676758,350208,19.921968,2.736761,0.006503597
172,282,1677.69,-0.0019989013671875,1242.8761909008026,352256,-0.00084768794,1643.17940792,0.031982422,352256,19.98468,2.7313237,0.003146836
173,283,1690.18,0.01839810609817505,1250.1211340427399,354304,-0.00025217357,1655.6904114299998,0.024267578,354304,19.709566,2.7180138,0.0031468656
174,283,1702.89,0.00209808349609375,1257.3544030189514,356352,-0.0013812587,1668.5103466499995,0.027148437,356352,19.909216,2.7210717,0.0025672938
175,259,1710.3,0.012509584426879883,1264.5679578781128,358400,-4.8143113e-05,1676.0706320299996,0.040966798,358400,19.885157,2.7436025,0.0037566288
176,283,1721.97,-0.007555246353149414,1272.4671149253845,360448,-0.0024971107,1687.8332043799996,0.04609375,360448,20.034159,2.752129,0.0041292068
177,283,1729.14,-0.0019081830978393555,1279.7005319595337,362496,-0.0011791047,1695.2232946899999,0.037353516,362496,20.064043,2.7465832,0.0033784038
178,283,1744.04,-0.0013022422790527344,1286.9173979759216,364544,-0.0038381058,1710.20572346,0.0668457,364544,20.03942,2.7451348,0.0055592037
179,281,1755.46,-0.002031683921813965,1294.155245065689,366592,-0.0004272623,1721.6992773099998,0.020898437,366592,19.919674,2.7534814,0.002453365
180,281,1765.68,0.0034412145614624023,1301.4223411083221,368640,-0.0009525375,1732.10449696,0.039941408,368640,19.76078,2.7491698,0.0039997385
181,280,1778.06,0.00486600399017334,1308.6975317001343,370688,-5.04288e-05,1744.7187175200002,0.025341798,370688,19.80291,2.7556007,0.0025629136
182,279,1789.48,-0.005062699317932129,1316.0117659568787,372736,0.00082328374,1756.3103346700002,0.046289064,372736,20.057056,2.7660737,0.004135473
183,281,1797.31,-0.0015813112258911133,1323.3509948253632,374784,-0.00014594782,1764.28127903,0.032080077,374784,20.00297,2.7845852,0.003201417
184,278,1811.16,-0.00254213809967041,1330.6232869625092,376832,0.0007069189,1778.24221363,0.025341798,376832,19.920683,2.7978203,0.002456049
185,279,1811.65,0.0077474117279052734,1337.974447965622,378880,-0.000726877,1779.1875795299995,0.025146484,378880,19.747568,2.811081,0.0025535736
186,279,1823.11,0.008083999156951904,1345.2998960018158,380928,-0.0013531009,1790.7931858299996,0.057275392,380928,19.679531,2.826294,0.0047729043
187,283,1832.3,0.031260550022125244,1352.620440006256,382976,-0.0016088821,1800.1444577199995,0.06391601,382976,19.505558,2.8237555,0.0054577366
188,283,1842.22,-0.0025900602340698242,1359.854378938675,385024,-0.00032389833,1810.4005146999996,0.025537109,385024,20.048336,2.8178105,0.0030395675
189,283,1854.89,0.06012845039367676,1367.0924699306488,387072,-0.0026073824,1823.1022163399996,0.07695313,387072,19.11087,2.8158,0.0058611063
190,281,1870.23,0.0011662840843200684,1374.3284740447998,389120,-0.002430081,1838.3646663099996,0.055078126,389120,19.888416,2.8208685,0.004462728
191,282,1876.54,0.004423081874847412,1381.6155178546906,391168,0.00076047634,1845.1214950699996,0.0028808594,391168,19.94785,2.8248131,0.0010976702
