time_elapsed,n_updates,ep_len_mean,value_loss,fps,policy_entropy,clipfrac,ep_reward_mean,serial_timesteps,policy_loss,approxkl,total_timesteps,explained_variance
618.9037461280823,105,779.5,5.209895,301,2.1555731,0.06269531,730.23609252,215040,-0.0051805694,0.0048461026,215040,0.9656662084162235
625.6899189949036,106,780.39,6.3122926,298,2.156883,0.04926758,731.09826423,217088,-0.0021433304,0.004154693,217088,0.9623468704521656
632.547404050827,107,797.65,14.343625,300,2.1552734,0.039453126,747.47886291,219136,-0.0032340311,0.0036389027,219136,0.7850123792886734
639.3648641109467,108,811.03,5.0387144,300,2.1459477,0.03857422,760.13095732,221184,-0.00089818396,0.0036563992,221184,0.9786020684987307
646.1768019199371,109,826.4,15.381846,300,2.1419551,0.049902342,774.9157697100001,223232,-0.0029755677,0.0039625624,223232,0.6461696326732635
652.9854323863983,110,838.55,5.57797,300,2.1656668,0.040380858,786.3158272299999,225280,-0.0010564569,0.0035961014,225280,0.8531708717346191
659.7998204231262,111,855.61,12.994046,304,2.1856036,0.034277342,802.8051203199998,227328,-0.0011280294,0.003298498,227328,0.1589953899383545
666.5366065502167,112,867.91,14.623067,301,2.181691,0.06123047,814.5645780099999,229376,-0.006275315,0.0050841523,229376,0.7079851925373077
673.3311512470245,113,883.02,4.902343,298,2.1744366,0.038134765,828.6614715399999,231424,-0.0024140659,0.0035611733,231424,0.8783193379640579
680.1840686798096,114,899.13,9.943948,301,2.1933272,0.021826172,844.25829029,233472,-0.0010268741,0.0024750582,233472,0.46199631690979004
686.9828822612762,115,913.21,14.913196,304,2.2026572,0.035839844,857.6253806599999,235520,-0.0017537782,0.0031882138,235520,0.04151618480682373
693.700893163681,116,930.63,14.819504,297,2.210264,0.03515625,874.2933218,237568,-0.0024292187,0.003247705,237568,0.03266221284866333
700.5750606060028,117,945.99,14.396841,301,2.2171552,0.014990235,889.1501114799999,239616,4.036221e-05,0.0018583698,239616,0.06937944889068604
707.3710923194885,118,960.09,14.83803,293,2.2130082,0.02602539,902.50425607,241664,-0.0011549108,0.0026761128,241664,0.0403328537940979
