serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,approxkl,n_updates,explained_variance,value_loss,time_elapsed
311296,2.8060117,311296,1315.1984600000003,1400.65,-0.0065651364,0.08266602,302,0.0065186536,152,0.05895620584487915,17.514042,999.4689557552338
313344,2.808632,313344,1327.2227889900003,1413.51,-0.0049219984,0.042822264,304,0.0037437505,153,0.0506170392036438,17.43824,1006.2468645572662
315392,2.8053594,315392,1337.3004331099999,1423.69,-0.00267037,0.043115236,300,0.0039805337,154,0.0053465962409973145,17.91769,1012.9760718345642
317440,2.816547,317440,1350.4317175200003,1437.32,-0.0018932347,0.031054687,304,0.0032514674,155,0.08460003137588501,17.241798,1019.7921702861786
319488,2.8180766,319488,1364.3057409900002,1451.82,-0.0031657987,0.040283203,302,0.0036092114,156,0.02217036485671997,17.790865,1026.525806903839
321536,2.8238072,321536,1374.8664750399998,1463.02,-0.0021478808,0.07382812,301,0.005495724,157,0.025133907794952393,17.552221,1033.2989130020142
323584,2.833405,323584,1382.1702128999998,1471.22,-0.0026983977,0.062597655,298,0.005056397,158,0.019749879837036133,17.769642,1040.0903725624084
325632,2.847218,325632,1392.8459669099996,1482.66,9.3369614e-05,0.02631836,299,0.0026681279,159,0.058620452880859375,17.643703,1046.9653985500336
327680,2.8467877,327680,1404.1973412299997,1494.81,-0.0015870717,0.03149414,298,0.0030503324,160,0.042867064476013184,17.656437,1053.8070676326752
329728,2.8520005,329728,1416.0057228199994,1507.43,-0.00010107503,0.036865234,300,0.003646395,161,0.009647727012634277,18.013435,1060.6732821464539
331776,2.8608563,331776,1425.3788895399996,1517.48,-0.002522079,0.035302736,299,0.0031643845,162,0.08616435527801514,17.719246,1067.482735157013
333824,2.855349,333824,1426.0902708299993,1518.08,-0.00012431834,0.013378906,300,0.0018520553,163,-0.03135180473327637,18.36219,1074.3217816352844
335872,2.85246,335872,1434.4886452799994,1527.02,-0.0025245026,0.059033204,298,0.004541038,164,0.0065419673919677734,18.308239,1081.1283628940582
337920,2.8599782,337920,1442.3122369599994,1535.35,-0.0015790177,0.04584961,296,0.003777145,165,0.014753997325897217,18.051594,1087.9955518245697
339968,2.864116,339968,1446.4407716299995,1539.35,-0.0016373869,0.05258789,296,0.004261481,166,0.0010405182838439941,18.150341,1094.9053239822388
342016,2.8635144,342016,1453.4981122799998,1546.23,-0.0007780834,0.036572266,297,0.0034621793,167,-0.004491448402404785,18.248253,1101.8228557109833
344064,2.8777838,344064,1467.7150756800004,1560.92,-0.0002984396,0.032470703,296,0.0029733144,168,0.08480745553970337,17.638689,1108.7077751159668
346112,2.8852944,346112,1479.32325793,1573.0,-0.00077260134,0.03730469,294,0.003529704,169,0.04130798578262329,18.124392,1115.6070230007172
348160,2.8878925,348160,1481.9951647900002,1575.62,-0.0017393567,0.03413086,294,0.0032074023,170,0.009638667106628418,18.356756,1122.5547206401825
350208,2.897729,350208,1495.56278732,1589.47,-0.0013490267,0.021142578,295,0.0020305372,171,-0.013086557388305664,18.611248,1129.5037353038788
352256,2.9154508,352256,1501.981772,1595.99,-0.0022261464,0.053222656,296,0.0043295985,172,0.027074337005615234,18.365932,1136.4317421913147
354304,2.9243288,354304,1502.21435735,1595.99,-0.001835448,0.03300781,302,0.0030552775,173,0.12826985120773315,19.071774,1143.3440616130829
356352,2.9243636,356352,1502.4533266800001,1595.99,-0.0011132769,0.031298827,296,0.0028400193,174,0.03877967596054077,18.386786,1150.1267042160034
358400,2.9293783,358400,1502.6742720900002,1595.99,-0.0015563569,0.03354492,295,0.003007252,175,0.015309572219848633,18.716251,1157.0292422771454
360448,2.9404535,360448,1505.3632349099998,1599.19,-0.0026807312,0.04375,297,0.0037375514,176,0.05681586265563965,19.019619,1163.9697070121765
362496,2.9452834,362496,1505.58821692,1599.19,-0.0014164487,0.055322267,292,0.0047399634,177,0.02754819393157959,18.82371,1170.8625514507294
364544,2.9503107,364544,1513.93574302,1608.02,-0.0032193966,0.046777345,297,0.0041936757,178,0.04780179262161255,18.873589,1177.8757545948029
366592,2.9626706,366592,1520.52615542,1614.75,-0.0025714105,0.050390624,298,0.00416275,179,0.27503645420074463,17.205008,1184.7581372261047
368640,2.960288,368640,1522.7771142499998,1617.66,-0.00016113913,0.0013183594,298,0.0006504421,180,0.07507455348968506,18.898888,1191.6257393360138
370688,2.9543633,370688,1527.00547913,1621.67,-0.0015215346,0.043603517,300,0.0038759173,181,0.009280264377593994,18.850065,1198.4781289100647
372736,2.9516907,372736,1526.745907,1621.67,0.00018029021,0.007714844,299,0.001408278,182,0.021443188190460205,18.89639,1205.30264878273
374784,2.941512,374784,1526.7672988700003,1621.67,-0.0034160062,0.0737793,294,0.0058783125,183,0.03601109981536865,18.118845,1212.1330575942993
376832,2.9369733,376832,1532.4610493700002,1627.75,-0.003409401,0.046142578,296,0.0040910714,184,0.1671193242073059,17.46941,1219.0905225276947
378880,2.9481695,378880,1532.1659174200001,1627.75,-0.0008721547,0.0146484375,297,0.0015463715,185,-0.015107035636901855,18.749487,1225.9882040023804
380928,2.9568396,380928,1540.1730960600003,1635.81,-0.0015692342,0.025976563,295,0.0026839064,186,0.027967870235443115,18.69609,1232.882621049881
382976,2.9625432,382976,1545.0629087900004,1640.25,-0.002186504,0.025048828,294,0.0024887165,187,0.20857912302017212,16.796305,1239.8118052482605
385024,2.9732523,385024,1558.2849155500005,1654.12,-0.0022387798,0.058496095,295,0.0045127445,188,0.02377629280090332,19.024181,1246.7691071033478
387072,2.9813192,387072,1568.0820568499998,1664.67,-0.001727221,0.025341798,296,0.0024812263,189,0.2236875295639038,18.739212,1253.711143732071
389120,2.9948492,389120,1570.0655466300002,1666.93,-0.00053620106,0.014453125,296,0.0018696027,190,0.5055002272129059,4.6152763,1260.6237924098969
391168,3.0043576,391168,1583.30695997,1681.12,-0.0016685122,0.037890624,302,0.003196286,191,0.2236006259918213,8.107454,1267.529655456543
393216,3.0072527,393216,1596.83856261,1695.11,-0.0033365996,0.038427733,297,0.0035333629,192,0.10941225290298462,9.94375,1274.2926425933838
