value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,explained_variance,total_timesteps,serial_timesteps,n_updates,policy_loss,clipfrac,ep_len_mean,approxkl
0.6332902,0.7080541,62.31,369,1008.4361183643341,0.9946118141524494,387072,387072,189,-0.0013458792,0.068310544,240.04,0.005568401
0.70635784,0.69669825,62.31,394,1013.98104429245,0.9935172693803906,389120,389120,190,-0.0013660608,0.039160155,240.79,0.0036775284
0.35539922,0.684872,63.02,399,1019.170818567276,0.9966333596967161,391168,391168,191,-0.000524675,0.06523438,240.74,0.00558022
0.3693718,0.68557245,61.96,426,1024.2934863567352,0.9960086573846638,393216,393216,192,-0.001351693,0.068164065,238.28,0.0055142334
0.922026,0.688053,61.58,375,1029.0956857204437,0.9955425816588104,395264,395264,193,-0.004484161,0.08481445,237.61,0.0068513565
0.30854228,0.6719383,63.16,379,1034.5455629825592,0.9980496609350666,397312,397312,194,-0.0002143484,0.07470703,237.5,0.005915369
1.191378,0.66437465,60.98,412,1039.9420580863953,0.992674405220896,399360,399360,195,-0.0027239635,0.058935545,232.38,0.0050649997
2.617334,0.6576268,64.99,383,1044.9067344665527,0.991835443302989,401408,401408,196,0.001205448,0.079882815,237.78,0.0069748336
0.59179926,0.65898335,67.4,359,1050.2459273338318,0.9963944884948432,403456,403456,197,-0.0045519746,0.10771485,237.09,0.008806351
2.110238,0.65711075,70.13,398,1055.939412355423,0.9897660464048386,405504,405504,198,-0.0010829633,0.06391601,237.48,0.005176019
1.0380094,0.64505374,70.04,385,1061.0821387767792,0.9939572094008327,407552,407552,199,-0.0002485179,0.070898436,234.74,0.0062519335
0.66736436,0.6380847,70.05,376,1066.3921988010406,0.9958327612839639,409600,409600,200,-0.0007453017,0.041552734,227.24,0.0036978056
1.3455789,0.63731486,70.75,364,1071.8398382663727,0.9921871842816472,411648,411648,201,0.00038763756,0.036132812,221.41,0.0032524918
0.7247642,0.6287612,68.06,396,1077.4533596038818,0.9925382430665195,413696,413696,202,-0.003138886,0.06347656,217.89,0.0052547017
1.0222466,0.62883586,68.22,410,1082.6199703216553,0.9935869742184877,415744,415744,203,0.00037609882,0.059228517,216.6,0.004969137
