serial_timesteps,ep_reward_mean,fps,value_loss,time_elapsed,n_updates,policy_loss,clipfrac,policy_entropy,ep_len_mean,total_timesteps,explained_variance,approxkl
374784,188.84641679000003,105,15.714388,2579.3494968414307,183,-0.003754187,0.043261718,1.8074976,286.64,374784,0.9030231460928917,0.003890651
376832,156.09262431,160,12.23917,2598.800956964493,184,-0.002160043,0.031347655,1.8044739,249.3,376832,0.9120220318436623,0.0030730686
378880,172.61128344999997,106,15.300723,2611.59418797493,185,-0.0075973184,0.0652832,1.8004036,268.87,378880,0.9031573310494423,0.005504738
380928,172.90545160999997,350,11.2981415,2630.8871681690216,186,-0.00037776624,0.025927734,1.8034751,269.16,380928,0.8914592266082764,0.0025479721
382976,188.75964394,266,15.867126,2636.733290195465,187,-0.0057646898,0.049804688,1.8052775,288.07,382976,0.3806700110435486,0.0042374767
385024,204.61729421000004,320,16.64054,2644.4149518013,188,-0.0053225774,0.086083986,1.8026905,306.98,385024,0.42570292949676514,0.006865859
387072,220.56260748,245,15.669136,2650.808907032013,189,-0.0020910588,0.0296875,1.8071893,326.05,387072,0.7497902810573578,0.0030179133
389120,236.25725435,265,16.646404,2659.1376373767853,190,-0.0007032971,0.043115236,1.8025095,344.89,389120,0.5037903785705566,0.0039493935
391168,251.83858598999998,346,13.765348,2666.8578050136566,191,-0.0032373215,0.036035158,1.804381,363.73,391168,0.3512296676635742,0.00325009
393216,267.57772086,390,14.092959,2672.771354198456,192,-0.0049607675,0.04663086,1.8176959,382.6,393216,0.521697074174881,0.004016326
395264,283.13675405000004,356,13.182062,2678.0155067443848,193,-0.00087750907,0.023388673,1.8094094,401.42,395264,0.4554592967033386,0.0026086306
