ep_len_mean,total_timesteps,approxkl,ep_reward_mean,policy_loss,fps,policy_entropy,n_updates,explained_variance,time_elapsed,clipfrac,value_loss,serial_timesteps
1059.13,2486272,0.0036794941,793.9489236699999,-0.0055111055,375,4.241975,1214,0.9599466174840927,6640.383157968521,0.039648436,6.4015923,2486272
1073.4,2488320,0.0050172997,807.7828023999999,-0.008250249,398,4.2428284,1215,0.8769620433449745,6645.837374687195,0.061914064,23.891186,2488320
1073.45,2490368,0.004110622,807.90469889,-0.006341254,362,4.248109,1216,0.8340408504009247,6650.976325035095,0.04638672,28.818645,2490368
1073.45,2492416,0.0028738852,808.1121664100001,-0.0009025835,374,4.250054,1217,0.8608734458684921,6656.63013792038,0.029052734,16.977373,2492416
1053.12,2494464,0.0041608424,792.2913704100001,-0.00499799,375,4.2510395,1218,0.8814859911799431,6662.1049020290375,0.043115236,31.846354,2494464
1053.12,2496512,0.005286875,792.1828072400001,-0.0060193343,377,4.252875,1219,0.8412615954875946,6667.560621738434,0.06591797,17.56718,2496512
1066.62,2498560,0.004149658,805.8072996899999,-0.0049971584,361,4.273687,1220,0.9051029980182648,6672.991712808609,0.04477539,18.962814,2498560
1082.19,2500608,0.0020434924,818.9529408799999,-0.002224495,382,4.29155,1221,0.8575462847948074,6678.657840490341,0.021289062,15.618243,2500608
1071.9,2502656,0.002381208,808.3020440300002,-0.0053255097,410,4.2931085,1222,0.9031935185194016,6684.0125041008,0.025195312,15.919708,2502656
1083.02,2504704,0.0026271134,815.1630296,-0.0044450816,394,4.2923193,1223,0.9425373114645481,6688.997308015823,0.02602539,8.0744705,2504704
1083.02,2506752,0.003971104,815.8020292499999,-0.004076857,365,4.2907634,1224,0.843230739235878,6694.1910836696625,0.045458984,19.276287,2506752
1086.83,2508800,0.002173247,817.8827857800002,-0.0028855612,376,4.2994013,1225,0.884946696460247,6699.792431354523,0.017919922,28.30989,2508800
1088.44,2510848,0.0037436192,818.1430267800001,-0.006898453,385,4.31447,1226,0.9174052178859711,6705.235059499741,0.039746094,14.014498,2510848
1075.56,2512896,0.0023296764,802.46975131,-0.003365639,383,4.3191977,1227,0.8890637680888176,6710.549674749374,0.02368164,18.633894,2512896
1063.51,2514944,0.0023672741,790.1165282000001,-0.003523782,389,4.31676,1228,0.7734394520521164,6715.895611286163,0.026367188,23.743372,2514944
1063.51,2516992,0.0033150795,789.6786948200001,-0.005346364,392,4.3256044,1229,0.9411794394254684,6721.156410932541,0.038476564,9.491426,2516992
1074.32,2519040,0.004188225,799.4329213100001,-0.0062701097,386,4.329717,1230,0.8747634738683701,6726.369069814682,0.051367186,18.176517,2519040
1074.32,2521088,0.0058194394,798.03133265,-0.0030478337,336,4.33843,1231,0.832959458231926,6731.665917634964,0.07509766,19.606543,2521088
1083.83,2523136,0.0031885144,806.33779746,-0.00653584,375,4.3439646,1232,0.9232141971588135,6737.745364665985,0.036035158,8.713607,2523136
1100.44,2525184,0.00438561,822.2609441200001,-0.0033660089,363,4.344449,1233,0.8430716693401337,6743.200975418091,0.0515625,18.721832,2525184
