time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean,policy_loss,value_loss,clipfrac,n_updates,fps,policy_entropy,approxkl,explained_variance,total_timesteps
1689.7574300765991,710656,362.22,226.77,-0.00812264,0.0009440801,0.18886718,347,427,-0.35342124,0.015602784,-0.3481013774871826,710656
1694.5547382831573,712704,362.22,226.77,0.0027918003,0.0003733794,0.13701172,348,432,-0.37203652,0.011415656,-3.3434767723083496,712704
1699.291421175003,714752,362.22,226.77,-0.0012688884,0.00013849286,0.15703125,349,428,-0.39062256,0.013005282,-0.5144238471984863,714752
1704.068748474121,716800,362.22,226.77,-0.006526819,0.00067372964,0.20922852,350,426,-0.40145296,0.018534865,-0.8195796012878418,716800
1708.868984222412,718848,362.22,226.77,0.0005997857,0.0002581114,0.16298828,351,430,-0.4155841,0.014756314,-1.7140157222747803,718848
1713.6325361728668,720896,362.22,226.77,-0.009314811,0.0007926643,0.19887695,352,428,-0.42400423,0.016186778,0.25003141164779663,720896
1718.414024591446,722944,362.22,226.77,-0.009310609,0.00024180181,0.19838867,353,429,-0.44155288,0.01685119,-1.2848889827728271,722944
1723.1797194480896,724992,362.22,226.77,-0.00024161165,0.00024036074,0.1694336,354,431,-0.46289554,0.013737457,-2.56644344329834,724992
1727.9320950508118,727040,362.22,226.77,-0.00036845118,0.00077046436,0.20986328,355,430,-0.47051793,0.021335283,0.37873584032058716,727040
1732.6936841011047,729088,362.22,226.77,-0.019719813,0.0005361473,0.22080079,356,428,-0.47746977,0.016713602,-0.8440446853637695,729088
1737.4780735969543,731136,362.22,226.77,-0.009263722,0.00024303366,0.21870117,357,431,-0.491006,0.01898376,-0.5662959814071655,731136
1742.2266075611115,733184,362.22,226.77,-0.009600563,0.0004987397,0.17763671,358,426,-0.50940275,0.0149682965,-0.5100152492523193,733184
1747.0277326107025,735232,362.22,226.77,0.0026599814,0.000101194564,0.13051757,359,428,-0.53084236,0.011214044,-1.9933476448059082,735232
1751.813542842865,737280,362.22,226.77,-0.01070246,0.00030736523,0.20170899,360,433,-0.5435803,0.015870316,0.08774912357330322,737280
1756.5384411811829,739328,362.22,226.77,0.002247056,0.0018854911,0.17856446,361,426,-0.5518216,0.015781049,-0.330968976020813,739328
