n_updates,approxkl,time_elapsed,serial_timesteps,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean,clipfrac,value_loss
98,0.0041642203,642.9181840419769,200704,0.007568776607513428,2.1645026,-0.0029920868,304,200704,810.68473676,867.51,0.04838867,15.388954
99,0.0032476936,649.640557050705,202752,0.5805766880512238,2.1812606,-0.0021408605,313,202752,832.07190633,890.61,0.038378906,15.069125
100,0.002664575,656.1659324169159,204800,0.2549189329147339,2.195125,-0.0021074812,303,204800,830.5122365299999,889.33,0.026123047,13.301933
101,0.0016370725,662.9145612716675,206848,0.3404574394226074,2.1993449,-0.0010079922,313,206848,847.1049138099999,906.95,0.012744141,20.37269
102,0.0020529176,669.4552028179169,208896,0.9306556209921837,2.2092175,-0.001161702,312,208896,850.17939995,910.35,0.014941406,5.0758142
103,0.0019171506,676.0128438472748,210944,0.8645173907279968,2.2180867,-0.00071812776,301,210944,857.2044152800001,917.91,0.015283203,5.881555
104,0.004151821,682.8112778663635,212992,0.5213877558708191,2.2253928,-0.0031123532,300,212992,869.0117672500002,930.63,0.045800783,10.594625
105,0.003257656,689.6195013523102,215040,0.3682822585105896,2.2332537,-0.0025399278,300,215040,871.54399447,934.15,0.03305664,12.19647
106,0.0021448415,696.444004535675,217088,0.08437967300415039,2.2357872,-0.00021531878,300,217088,886.0046136700001,949.68,0.013916016,14.925684
107,0.0037381495,703.2536928653717,219136,0.21100127696990967,2.2362368,-0.0023956061,306,219136,901.3300877500001,965.92,0.043896485,15.811612
108,0.0016198577,709.928403377533,221184,0.664783388376236,2.239283,-0.0011785433,300,221184,916.3225111900001,981.8,0.011279297,8.437737
109,0.0016217728,716.7440960407257,223232,0.014777302742004395,2.2400293,1.8566032e-05,298,223232,930.58842939,997.19,0.010302735,15.69547
110,0.000832407,723.6086637973785,225280,0.011151313781738281,2.2481086,0.00012735368,301,225280,946.1297935299999,1013.11,0.0040527345,15.124289
111,0.0031094747,730.413763999939,227328,0.2734220027923584,2.246027,-0.0017488118,300,227328,961.42217024,1029.38,0.029882813,14.98943
112,0.0031144088,737.2289035320282,229376,0.13573074340820312,2.247563,-0.0006513108,300,229376,976.8154926899999,1045.94,0.032666016,13.849855
113,0.0016618194,744.0409235954285,231424,0.023731589317321777,2.2643466,-0.00066236465,304,231424,991.0006275500001,1061.19,0.014453125,15.097801
114,0.0016245095,750.7778129577637,233472,0.6330152451992035,2.278619,-0.0016222429,308,233472,1019.2353066800002,1091.13,0.0107421875,24.706303
115,0.001825948,757.4194967746735,235520,0.011472105979919434,2.275979,-0.0007946674,308,235520,1033.3796947800001,1105.83,0.012988281,15.105246
116,0.0019869031,764.0549285411835,237568,-0.010186195373535156,2.2739587,-0.000662375,301,237568,1047.4256626400002,1120.51,0.016601562,15.540851
117,0.0021572527,770.8522033691406,239616,0.294605016708374,2.2786055,-0.001669491,301,239616,1063.5317187800001,1137.76,0.021386718,13.079648
118,0.0021211903,777.6414132118225,241664,0.776878759264946,2.2728817,-0.0027032585,299,241664,1073.20131549,1148.23,0.022216797,8.664963
119,0.0017625864,784.4788019657135,243712,0.7882179170846939,2.2713666,-0.0014325872,306,243712,1079.4315267000002,1155.17,0.015234375,7.72658
120,0.0025388296,791.168182849884,245760,0.9447711519896984,2.2750247,-0.0020988884,299,245760,1092.7430358000001,1169.2,0.024267578,18.539776
121,0.004103899,798.0085663795471,247808,0.9242343455553055,2.2713213,-0.00376528,297,247808,1114.26935753,1192.72,0.04711914,11.82564
122,0.0036182906,804.8893332481384,249856,0.699481189250946,2.2816718,-0.002593703,296,249856,1126.5832734800001,1205.71,0.041650392,8.838653
123,0.0023792475,811.8057029247284,251904,0.051353633403778076,2.2939591,-0.0009735484,298,251904,1140.1972675099998,1219.9,0.023779297,15.573029
124,0.0029307974,818.6680881977081,253952,0.8527713567018509,2.300346,-0.0023641847,303,253952,1154.7816662999999,1235.84,0.03261719,6.1079774
125,0.0037209515,825.4067504405975,256000,0.0013367533683776855,2.310626,-0.0030219355,298,256000,1168.5464452200001,1250.28,0.044384766,15.818922
126,0.0026760031,832.2732648849487,258048,0.06542575359344482,2.3118625,0.00018000176,296,258048,1182.1300727999999,1264.92,0.026416015,15.215396
127,0.0019732616,839.1926603317261,260096,0.042876601219177246,2.3188963,-0.000689647,294,260096,1196.66284163,1279.74,0.017285157,15.918257
128,0.0028570017,846.1437938213348,262144,0.12000328302383423,2.3330116,-0.001824138,296,262144,1211.8479577399999,1295.77,0.026757812,15.480113
129,0.0019389851,853.0414612293243,264192,0.9691735859960318,2.319231,-0.0012809307,293,264192,1224.96365531,1309.42,0.01225586,22.579708
130,0.0022930894,860.0162026882172,266240,0.9753502979874611,2.306453,-0.0014294705,298,266240,1237.43078052,1322.69,0.020703126,11.24719
131,0.0025162448,866.8785717487335,268288,0.9724230617284775,2.2995384,-0.003214522,294,268288,1250.11862522,1336.01,0.025341798,17.80471
132,0.002968727,873.8262529373169,270336,0.04287219047546387,2.2908814,0.00017094177,298,270336,1264.15912846,1350.7,0.031445313,15.981125
133,0.002549229,880.6929070949554,272384,0.012429535388946533,2.291612,-0.0005385542,297,272384,1277.45049755,1364.56,0.026123047,16.73032
134,0.0015527051,887.5799753665924,274432,-0.0055234432220458984,2.2919424,-0.001734679,294,274432,1291.6063169400002,1379.46,0.009619141,17.311745
135,0.00269617,894.5350179672241,276480,0.33704864978790283,2.283943,-0.0017813751,296,276480,1306.2223379400002,1394.75,0.02578125,13.908368
136,0.002272751,901.4541456699371,278528,0.05381155014038086,2.276322,0.00025175512,300,278528,1321.1418660800002,1409.81,0.015478516,16.36137
137,0.0021877743,908.2782163619995,280576,-0.0014293193817138672,2.2722576,0.00017515536,299,280576,1334.76210807,1424.27,0.017480468,17.57976
138,0.0053318157,915.1075704097748,282624,-0.003250718116760254,2.280817,-0.004399588,298,282624,1346.7283118100002,1436.74,0.06914063,17.324583
139,0.0017433253,921.9651367664337,284672,0.007341623306274414,2.2999988,-0.00052711694,298,284672,1362.93637193,1453.7,0.017431641,17.242838
140,0.0025153388,928.8192582130432,286720,0.07759755849838257,2.3131473,-0.0016567332,299,286720,1376.53442076,1467.69,0.023925781,16.91364
141,0.0038851183,935.6642096042633,288768,0.9607739448547363,2.3139184,-0.00362583,296,288768,1391.3153427700004,1483.56,0.0453125,4.2330523
142,0.00087990315,942.5710804462433,290816,0.902819849550724,2.3076057,0.00043866364,295,290816,1404.7560601100004,1498.04,0.004345703,7.5965853
143,0.0040204003,949.4978740215302,292864,0.08218532800674438,2.2984407,-0.003213029,295,292864,1419.81997932,1513.27,0.049804688,16.43832
144,0.0037447638,956.4308676719666,294912,0.04796874523162842,2.289171,-0.0011669674,299,294912,1435.88621213,1530.0,0.03564453,17.238697
145,0.003553298,963.2748074531555,296960,0.023868680000305176,2.2742352,-0.0037874214,295,296960,1446.93574785,1541.94,0.03857422,17.883678
146,0.0055797296,970.2111876010895,299008,-0.0033028125762939453,2.2672362,-0.0034947663,300,299008,1461.9347644300003,1557.37,0.06738281,18.235981
147,0.003017792,977.0352747440338,301056,-0.013802528381347656,2.2786732,-0.00014583195,298,301056,1474.7130356599998,1570.66,0.030615235,18.342932
148,0.004085737,983.9079945087433,303104,0.053394317626953125,2.3036835,-0.0020264003,297,303104,1487.37597765,1583.99,0.0496582,17.877783
