clipfrac,time_elapsed,policy_entropy,value_loss,serial_timesteps,total_timesteps,n_updates,ep_len_mean,fps,approxkl,explained_variance,policy_loss,ep_reward_mean
0.061523438,800.0618827342987,0.51371896,1.2759855,309248,309248,151,181.51,392,0.005147052,0.9918880444020033,-0.0006472982,67.66
0.09487305,805.2820219993591,0.5120107,0.58436227,311296,311296,152,180.33,389,0.007558141,0.9954717364162207,-0.001792537,66.69
0.051171876,810.5366837978363,0.5042633,1.0194811,313344,313344,153,180.24,373,0.004378941,0.994464308489114,3.422723e-05,66.75
0.091992185,816.0242855548859,0.49054843,0.2596935,315392,315392,154,181.18,397,0.007456892,0.9978541962336749,-0.003474287,67.82
0.08339844,821.1754999160767,0.4720785,0.7459236,317440,317440,155,181.22,438,0.0070533403,0.9940276648849249,0.0009914391,67.6
0.059521485,825.8500952720642,0.45385233,1.3222487,319488,319488,156,181.56,428,0.0050851367,0.993983477819711,-0.001169171,68.04
0.10864258,830.6276972293854,0.442488,0.5134823,321536,321536,157,178.57,402,0.00896486,0.9965122919529676,0.001059009,64.34
0.08183594,835.7155439853668,0.43527237,0.71882695,323584,323584,158,176.94,404,0.006586235,0.9956322009675205,0.00080749503,62.48
0.05961914,840.7779498100281,0.42685896,1.9817619,325632,325632,159,178.09,325,0.005072577,0.9929015766829252,-0.00080297736,63.46
0.07851563,847.0763423442841,0.41386476,0.98235404,327680,327680,160,179.15,420,0.006310576,0.994398383423686,-0.0036676428,64.3
0.06552734,851.9485261440277,0.40877086,0.70770514,329728,329728,161,179.27,385,0.005329421,0.9941663299687207,0.00086575735,63.64
0.07050781,857.2693877220154,0.3994833,0.7033041,331776,331776,162,178.27,437,0.0063149096,0.9951674859039485,0.0002720307,62.56
0.09536133,861.9509744644165,0.37922844,0.6188264,333824,333824,163,179.91,383,0.00793615,0.9967824826017022,-0.0035949007,64.08
0.072460935,867.2895655632019,0.37429738,0.27982256,335872,335872,164,180.02,435,0.005909826,0.9977131495252252,-0.00088313146,64.41
0.0546875,871.995005607605,0.37733924,0.6311543,337920,337920,165,180.19,362,0.0046908017,0.9966457630507648,0.0014083991,64.96
0.0796875,877.6417462825775,0.37566903,0.84066695,339968,339968,166,180.02,367,0.0062216152,0.9953423542901874,-0.0021620735,64.88
0.07348633,883.2174017429352,0.36879152,0.8370161,342016,342016,167,179.77,425,0.006033724,0.9961191709153354,-0.00031759622,64.72
0.08618164,888.03648853302,0.35666758,0.3032304,344064,344064,168,178.28,376,0.0066832183,0.9973649480380118,0.0009214255,63.39
0.09536133,893.4719879627228,0.35415083,0.7434634,346112,346112,169,176.81,416,0.007715971,0.9949834565632045,0.0004664894,62.62
0.09907226,898.3903303146362,0.35212392,0.1457144,348160,348160,170,176.98,399,0.008259901,0.9988920593168586,0.0011671779,63.53
0.070898436,903.5165712833405,0.3398477,2.169105,350208,350208,171,179.56,372,0.005881103,0.9940011482685804,0.0011643062,66.25
0.0730957,909.0110473632812,0.32807904,0.556729,352256,352256,172,179.51,393,0.005965467,0.9975455375388265,-0.0035237311,66.44
0.07504883,914.2110185623169,0.32217506,0.92211133,354304,354304,173,182.98,401,0.0063532903,0.996343658072874,0.0016922418,70.15
0.07382812,919.3188445568085,0.32351267,0.19479282,356352,356352,174,182.6,418,0.006156943,0.998881368082948,0.0017860814,70.33
0.07709961,924.2112822532654,0.33242792,0.5379783,358400,358400,175,182.95,440,0.0062640994,0.9967317678965628,0.00056865544,70.92
0.053466797,928.8596043586731,0.3405103,0.33601218,360448,360448,176,180.97,377,0.0044661653,0.9973920225165784,0.0029710387,69.09
0.087646484,934.2864124774933,0.3422193,0.42484432,362496,362496,177,181.07,408,0.0066959215,0.9968280328903347,-0.0009158511,69.46
0.08491211,939.2989649772644,0.3454451,1.6000364,364544,364544,178,183.16,417,0.0069636432,0.9945733705535531,0.0015738854,71.98
0.056152344,944.2014367580414,0.34562927,0.84311783,366592,366592,179,185.41,392,0.0046708076,0.9967855638824403,0.0015744746,74.63
0.107226565,949.4188716411591,0.32824388,0.5831238,368640,368640,180,184.7,395,0.009384918,0.9978223997168243,-0.00060754886,74.81
0.11411133,954.5922999382019,0.30475575,0.20963904,370688,370688,181,183.25,396,0.009713395,0.9985067909583449,-0.0012976421,73.6
0.0793457,959.7632124423981,0.29957467,0.5739794,372736,372736,182,180.79,391,0.0062305806,0.9970791072119027,0.001037577,71.64
0.059277344,964.9944741725922,0.3030893,1.085473,374784,374784,183,182.67,393,0.0048503354,0.996059050783515,0.00019615334,73.37
0.058300782,970.2021291255951,0.29230312,0.4939026,376832,376832,184,183.93,397,0.0049974006,0.9978734159376472,-0.0010472996,74.66
0.06479492,975.352058172226,0.29083318,0.49267215,378880,378880,185,186.16,370,0.005239694,0.9974715961143374,-0.0007308473,76.82
0.057421874,980.8882937431335,0.30106717,0.6705979,380928,380928,186,188.29,373,0.0047750543,0.9975735356565565,0.0008224177,78.98
0.09404297,986.3746709823608,0.29511756,0.11228563,382976,382976,187,189.21,399,0.007274271,0.9990230319090188,0.0027112332,80.06
0.091845706,991.5001695156097,0.2887184,0.20526703,385024,385024,188,185.43,404,0.0068802154,0.9984681610949337,-0.001199233,75.92
0.09213867,996.560474395752,0.28699428,0.17942901,387072,387072,189,181.4,407,0.0077427393,0.9982495151925832,5.1319475e-05,71.73
0.071777344,1001.5831778049469,0.28329134,0.52079624,389120,389120,190,182.17,405,0.0056817206,0.9976997443009168,-0.0018883474,72.45
0.057177734,1006.6353588104248,0.27178118,0.30096716,391168,391168,191,182.2,396,0.0052538724,0.9984679628396407,0.0006380504,72.71
0.08979492,1011.8052508831024,0.25359958,0.15078814,393216,393216,192,179.76,397,0.006936811,0.9989451074507087,0.0035152012,70.73
0.06430664,1016.9559834003448,0.25180784,0.4125634,395264,395264,193,177.27,423,0.0055252016,0.9974881017114967,0.0015751736,68.69
0.06640625,1021.7986056804657,0.25741678,0.7024,397312,397312,194,174.15,352,0.005565971,0.9959679623134434,0.0017484218,65.78
0.07919922,1027.6117177009583,0.27325597,0.37043133,399360,399360,195,170.83,390,0.006629498,0.9967622966505587,0.00041822103,62.77
0.08666992,1032.8607127666473,0.27837723,0.24719462,401408,401408,196,171.11,407,0.006709204,0.9988262644037604,-0.0019973067,63.48
0.083935544,1037.8861536979675,0.27084643,0.6787422,403456,403456,197,174.26,439,0.0068755625,0.9976540834177285,0.0006866212,66.91
0.06313477,1042.5511469841003,0.2642403,0.51402813,405504,405504,198,176.47,433,0.0050665345,0.9979223217815161,0.00090162514,69.5
0.10883789,1047.2749826908112,0.2662625,0.27020073,407552,407552,199,174.45,431,0.009176549,0.9972439357079566,0.0049092127,67.33
0.059326172,1052.022250175476,0.27000958,0.34068593,409600,409600,200,171.97,391,0.005078101,0.9978877764660865,-0.00016577593,64.64
0.10424805,1057.2618758678436,0.2745935,0.24472351,411648,411648,201,170.35,419,0.008041179,0.9977802431676537,0.00022061239,62.7
0.055761717,1062.1511442661285,0.2755577,0.75058913,413696,413696,202,171.61,420,0.0044773975,0.9970407420769334,0.0026920033,63.96
0.059912108,1067.0189805030823,0.27718073,0.2737003,415744,415744,203,174.56,382,0.0049487567,0.9987182104960084,0.00033387385,67.44
