fps,time_elapsed,ep_len_mean,value_loss,approxkl,clipfrac,explained_variance,policy_entropy,n_updates,total_timesteps,serial_timesteps,policy_loss,ep_reward_mean
289,3182.672103881836,1537.68,16.588219,0.009203955,0.103466794,0.7120940387248993,2.4244106,455,931840,931840,-0.005670272,1014.88125593
277,3189.749360561371,1554.21,9.502868,0.0055760224,0.06948242,0.6732484102249146,2.4288,456,933888,933888,-0.0028194569,1025.69373522
268,3197.140998363495,1558.75,9.742459,0.0075519616,0.091552734,0.6364880502223969,2.4325156,457,935936,935936,-0.0037267334,1027.77206009
266,3204.75621008873,1558.75,9.761325,0.0056114485,0.066064455,0.5521535873413086,2.4354699,458,937984,937984,-0.0031042476,1025.6040786700003
273,3212.436889886856,1558.75,9.997965,0.006272246,0.076367185,0.6053843796253204,2.433044,459,940032,940032,-0.0022314577,1024.09774689
283,3219.935760498047,1558.75,10.238402,0.007006988,0.08125,0.5795445740222931,2.434854,460,942080,942080,0.0013563888,1022.3122489600001
263,3227.156464099884,1558.75,9.095965,0.0038606406,0.04506836,0.5812824666500092,2.4417737,461,944128,944128,-0.0007333317,1021.1633347300001
276,3234.9289317131042,1558.75,8.913485,0.00743787,0.086035155,0.6279953122138977,2.439234,462,946176,946176,-0.0034927458,1019.8499837100001
288,3242.3293046951294,1570.24,10.467735,0.0046253325,0.054638673,0.7397931516170502,2.4418113,463,948224,948224,-0.00079866766,1027.96388761
284,3249.4378702640533,1570.24,9.232387,0.0047429623,0.05390625,0.7465046942234039,2.443246,464,950272,950272,-0.003015672,1028.0158328700002
276,3256.6359298229218,1569.19,4.5642457,0.0033161945,0.033740234,0.9114268943667412,2.4441957,465,952320,952320,-0.0032394403,1027.10833169
291,3264.042342185974,1552.91,5.4067345,0.0026086154,0.028076172,0.8922589048743248,2.4450927,466,954368,954368,-0.0016066441,1017.6539646800001
289,3271.0683913230896,1519.66,17.278088,0.0051281275,0.062207032,0.8084549158811569,2.446727,467,956416,956416,-0.0032016437,995.60635335
295,3278.1330847740173,1490.29,15.753453,0.0048604934,0.056103516,0.8296090513467789,2.4526098,468,958464,958464,-0.0045384835,976.3213913300001
288,3285.067988395691,1479.25,7.5685363,0.004115591,0.045703124,0.9067021906375885,2.4681773,469,960512,960512,-0.003931234,967.99961251
288,3292.1638436317444,1489.66,12.504576,0.004900441,0.057128906,0.6520589888095856,2.481556,470,962560,962560,-0.003198515,975.1616392000001
289,3299.2717413902283,1477.54,12.00798,0.004735802,0.05620117,0.8241628855466843,2.4882183,471,964608,964608,-0.0067393556,966.2040485000002
296,3306.336921453476,1466.99,7.467959,0.005116149,0.060009766,0.906968504190445,2.5016437,472,966656,966656,-0.003144995,958.5403787700002
300,3313.2455949783325,1454.81,1.3657944,0.004103572,0.042041015,0.9719390869140625,2.492783,473,968704,968704,-0.0015284976,949.3085944200002
302,3320.0592184066772,1425.91,20.044348,0.006409283,0.074072264,0.8150043934583664,2.4924376,474,970752,970752,-0.006474716,929.6326429
288,3326.8361673355103,1426.44,9.243602,0.006203004,0.06044922,0.8783828318119049,2.504947,475,972800,972800,-0.007687968,928.60832286
304,3333.9436938762665,1417.27,7.7227507,0.0041531553,0.042578124,0.9065838307142258,2.500821,476,974848,974848,-0.0026502304,921.05795808
288,3340.672951221466,1417.68,10.017775,0.0051395865,0.06289063,0.8248454332351685,2.5052474,477,976896,976896,-0.0042703026,919.9547708400002
302,3347.7690341472626,1358.09,16.207598,0.0067495294,0.07368164,0.8468326926231384,2.5275283,478,978944,978944,-0.007956092,877.4779223400001
287,3354.54278922081,1361.31,11.039212,0.006644778,0.077783205,0.8211531192064285,2.5427077,479,980992,980992,-0.0012903918,878.7342988100002
285,3361.657210826874,1371.94,8.012097,0.0049278806,0.056103516,0.7738242447376251,2.5459685,480,983040,983040,-0.0009919761,886.3533089
288,3368.8397336006165,1372.01,4.872166,0.0037854132,0.04091797,0.8721971213817596,2.5458803,481,985088,985088,-0.0039637634,886.2262986100001
292,3375.941597700119,1383.64,21.821701,0.0040456755,0.044921875,0.7374025881290436,2.5575275,482,987136,987136,-0.0061535602,893.5850740000001
281,3382.9507632255554,1383.64,12.074774,0.007061997,0.0824707,0.6219495832920074,2.5728033,483,989184,989184,-0.0010582736,892.8877911000002
292,3390.2346687316895,1394.56,12.168622,0.00552096,0.06611328,0.60685795545578,2.578473,484,991232,991232,-0.004897315,900.3615039700001
295,3397.248701572418,1409.14,13.448143,0.0052604103,0.061621092,0.8161643743515015,2.5796046,485,993280,993280,-0.004255789,911.22885324
301,3404.1762161254883,1424.09,8.870963,0.006444157,0.084667966,0.7744527161121368,2.5807815,486,995328,995328,-0.0085635,921.96130502
288,3410.964677095413,1439.37,9.894686,0.0076034204,0.10205078,0.7372746765613556,2.5856369,487,997376,997376,-0.0038720272,933.19881744
285,3418.0749106407166,1439.37,9.5245285,0.0041227974,0.04501953,0.7046560943126678,2.5814676,488,999424,999424,6.1021048e-05,933.1116000400001
283,3425.255515575409,1430.9,3.886448,0.003614058,0.03881836,0.930718719959259,2.576078,489,1001472,1001472,-0.0005367337,926.96309419
285,3432.470106601715,1417.06,13.412318,0.009010222,0.08476563,0.7939957529306412,2.5694442,490,1003520,1003520,-0.006713363,917.15159273
276,3439.6427340507507,1433.12,10.431585,0.007186691,0.083984375,0.7397770881652832,2.5588403,491,1005568,1005568,-0.004452777,929.02138797
289,3447.0626583099365,1448.82,13.880176,0.0070747384,0.08359375,0.4922717809677124,2.5447469,492,1007616,1007616,-0.0043752156,940.47865169
283,3454.147468805313,1448.64,14.3214445,0.006280245,0.07382812,0.7570641338825226,2.5360312,493,1009664,1009664,-0.0053683594,939.14130118
270,3461.3675146102905,1446.48,7.737564,0.0056654285,0.059472658,0.7761690020561218,2.5376887,494,1011712,1011712,-0.0040121553,937.39436117
280,3468.9509534835815,1439.97,10.894143,0.0072767055,0.08549805,0.8215660601854324,2.5479465,495,1013760,1013760,-0.0042293402,931.94892796
284,3476.258464574814,1454.35,10.717883,0.0061764074,0.07392578,0.6096096634864807,2.5698287,496,1015808,1015808,-0.0009275313,940.9001406699999
273,3483.4711544513702,1432.05,19.11506,0.0052307523,0.06435547,0.7405979335308075,2.588719,497,1017856,1017856,-0.0035562278,923.6830149
284,3490.9615733623505,1426.59,7.882857,0.002673094,0.028076172,0.9052732735872269,2.6004593,498,1019904,1019904,-0.0025950712,919.9581486100001
285,3498.165936946869,1426.59,10.285905,0.0055043404,0.06318359,0.6683915257453918,2.612248,499,1021952,1021952,-0.00500773,919.48073623
296,3505.3517713546753,1383.89,9.783918,0.0029975972,0.033154298,0.9080308973789215,2.62542,500,1024000,1024000,-0.00471218,889.11855323
289,3512.2685260772705,1364.12,10.021006,0.0031608087,0.034570314,0.8707453012466431,2.6396496,501,1026048,1026048,-0.0024774282,875.5805146499999
288,3519.351587295532,1377.06,5.153638,0.0035783872,0.0390625,0.8953018337488174,2.644733,502,1028096,1028096,-0.0015129732,885.63001208
291,3526.4406876564026,1377.06,11.975347,0.005362506,0.06171875,0.6250211298465729,2.6418839,503,1030144,1030144,-0.0028321848,884.8897954099999
289,3533.4708800315857,1347.54,4.62204,0.0039313,0.045947265,0.9469546601176262,2.6525042,504,1032192,1032192,-0.0029454306,864.83271963
300,3540.539806842804,1347.54,10.41659,0.0039478177,0.045947265,0.7743383496999741,2.6560671,505,1034240,1034240,-0.0026241178,864.99414826
289,3547.36168217659,1347.54,8.456339,0.0071078064,0.087841794,0.6692718267440796,2.653017,506,1036288,1036288,-0.0020403867,864.84248045
295,3554.43728017807,1347.54,10.920328,0.0038156076,0.04140625,0.676230788230896,2.6479375,507,1038336,1038336,-0.0014743073,864.3813022999999
292,3561.370604991913,1347.54,9.466472,0.0048285136,0.056933593,0.7409163117408752,2.6454065,508,1040384,1040384,-0.003203503,863.1469933500001
298,3568.368621110916,1347.54,8.516299,0.004634792,0.052441407,0.7890519499778748,2.6534202,509,1042432,1042432,-0.0032619413,863.1536406199999
303,3575.231851577759,1347.54,8.950925,0.004961061,0.060595702,0.7739484161138535,2.6630607,510,1044480,1044480,-0.0029090198,863.08783575
286,3581.985587835312,1347.54,8.496397,0.005747912,0.064404294,0.7699583321809769,2.668919,511,1046528,1046528,-0.002774576,863.41162932
276,3589.130076646805,1347.54,13.887754,0.007220062,0.08725586,0.7483427226543427,2.678285,512,1048576,1048576,-0.005960853,862.8053431199999
280,3596.550800561905,1347.54,11.421492,0.007633959,0.09091797,0.6401374042034149,2.6818023,513,1050624,1050624,-0.004135889,861.02980281
293,3603.845115184784,1341.04,15.602667,0.014517988,0.09628906,0.7976260334253311,2.6869588,514,1052672,1052672,-0.004907852,854.29812729
296,3610.829978466034,1341.04,11.042033,0.0069353147,0.08183594,0.615910679101944,2.6983333,515,1054720,1054720,-0.0016461422,854.0810027
