serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
192512,0.703604519367218,192512,0.003513819,1.4029969,0.034765624,127,-0.0027380034,94,968.1289279460907,11.301576,2748.7428571428572,1037.7073939428572
194560,0.6908528804779053,194560,0.0030481145,1.4088966,0.034082033,119,-0.0024897226,95,984.1660511493683,8.745604,2660.821917808219,1003.5384230273974
196608,0.8256425857543945,196608,0.0029368284,1.4081011,0.029833984,186,-0.0019254282,96,1001.3324022293091,5.409598,2634.7972972972975,993.3510134864865
198656,0.6746681928634644,198656,0.003590747,1.3919426,0.04091797,108,-0.0023696243,97,1012.3286201953888,11.805059,2545.2820512820513,962.1316155512823
200704,0.7009207904338837,200704,0.0029436282,1.3844492,0.028320312,115,-0.0015683945,98,1031.2464773654938,10.142403,2439.121951219512,920.8632740731706
202752,0.7729010879993439,202752,0.0047180923,1.3848197,0.05595703,124,-0.0059077707,99,1049.03125166893,8.929914,2373.576470588235,895.8178147764704
204800,0.719001293182373,204800,0.004300066,1.384707,0.05126953,80,-0.0054522688,100,1065.4539060592651,12.067302,2352.632183908046,892.3156608965514
206848,0.8734543770551682,206848,0.0050120256,1.3839345,0.059423827,239,-0.003731259,101,1090.8180558681488,2.6921172,2352.632183908046,892.3156608965514
208896,0.8710887879133224,208896,0.0025142485,1.3813654,0.02319336,140,-0.00088978495,102,1099.3856496810913,5.098764,2343.191011235955,894.9650675617978
210944,0.8441299945116043,210944,0.004892565,1.3766959,0.060058594,145,-0.0030358022,103,1113.9191989898682,6.492317,2317.076923076923,887.2673956593408
212992,0.8883348256349564,212992,0.005703227,1.3787175,0.07280274,152,-0.0039639375,104,1127.9854295253754,5.281516,2287.7096774193546,877.6547399784946
215040,0.9039264097809792,215040,0.0038727827,1.378898,0.04135742,151,-0.0022607236,105,1141.4579148292542,3.4750638,2254.5263157894738,866.0364308947368
217088,0.814292699098587,217088,0.005344889,1.3689429,0.051611327,138,-0.0048159217,106,1155.0202515125275,7.715046,2229.701030927835,858.445533969072
219136,0.8661708533763885,219136,0.0053787506,1.3710456,0.06772461,158,-0.0037015066,107,1169.7972350120544,6.7764907,2212.1717171717173,854.6945450404039
221184,0.8656571507453918,221184,0.0043656244,1.3681059,0.045703124,176,-0.0024381115,108,1182.7376852035522,4.958257,2205.91,853.88120506
223232,0.8794202953577042,223232,0.0075259656,1.3669734,0.09926758,149,-0.0045554577,109,1194.3241751194,4.566058,2163.43,849.4737617000001
225280,0.8666079640388489,225280,0.0039928453,1.3749827,0.04145508,141,-0.002903017,110,1208.0340464115143,5.785655,2143.65,852.4502031099998
227328,0.8374221622943878,227328,0.0054341834,1.3728235,0.0671875,134,-0.0036893673,111,1222.5349581241608,7.3367257,2150.77,859.6340507699999
229376,0.8899517133831978,229376,0.0037900512,1.377352,0.043310545,148,-0.0021311373,112,1237.7507660388947,5.2951884,2152.25,863.8352206999999
231424,0.8289354294538498,231424,0.0055603674,1.3737564,0.067919925,122,-0.003944469,113,1251.5111558437347,8.779463,2155.55,869.9162675799998
233472,0.8396063148975372,233472,0.005007128,1.3685459,0.05683594,156,-0.0030970206,114,1268.1652209758759,7.3166595,2109.96,866.3315546900001
