approxkl,time_elapsed,ep_len_mean,total_timesteps,policy_entropy,fps,explained_variance,policy_loss,clipfrac,ep_reward_mean,serial_timesteps,value_loss,n_updates
0.0052020545,4115.169211149216,1642.16,1660928,3.6910298,415,0.736600786447525,-0.0035010632,0.06123047,1058.6381278099998,1660928,9.084961,811
0.004814936,4120.102609872818,1642.16,1662976,3.6697533,415,0.7310214340686798,-0.003892446,0.054052733,1058.00936823,1662976,8.802906,812
0.0053141867,4125.033158779144,1642.16,1665024,3.688184,407,0.6326259672641754,-0.0036212578,0.06430664,1056.95490944,1665024,8.5532675,813
0.003772874,4130.058739185333,1657.06,1667072,3.7048783,412,0.6626259088516235,-0.001598496,0.040234376,1067.3774093700001,1667072,16.53744,814
0.0036117896,4135.026946306229,1674.77,1669120,3.7018204,403,0.6376216113567352,-0.003849674,0.04082031,1080.0974522400002,1669120,11.454609,815
0.0031000718,4140.0987775325775,1675.21,1671168,3.7031722,413,0.8318101018667221,-0.0034617186,0.030419922,1080.1967385000003,1671168,5.967585,816
0.0038080525,4145.055912733078,1677.92,1673216,3.7109668,414,0.7076373100280762,-0.004763792,0.042089842,1082.06310453,1673216,18.483185,817
0.0034199324,4149.998187303543,1684.88,1675264,3.727176,372,0.8874403834342957,-0.0037533033,0.039111327,1086.17524948,1675264,5.0584464,818
0.0034528438,4155.497341156006,1699.15,1677312,3.741531,416,0.6768400967121124,-0.002343808,0.037597656,1096.1604855399999,1677312,10.229298,819
0.0021765395,4160.419888973236,1716.7,1679360,3.7381427,409,0.7416697144508362,-0.002239165,0.018994141,1108.79268324,1679360,9.385366,820
0.0068959915,4165.417648553848,1723.85,1681408,3.7382464,377,0.6435960233211517,-0.005274444,0.08325195,1113.7472782900002,1681408,12.229167,821
0.0038613186,4170.841790676117,1740.53,1683456,3.741918,419,0.7648062705993652,-0.00459576,0.04711914,1125.18945202,1683456,8.973976,822
0.0032555803,4175.726278066635,1757.35,1685504,3.7383208,416,0.6274182200431824,-0.0029039416,0.035888672,1136.88786974,1685504,11.708406,823
0.0031484503,4180.6404094696045,1759.66,1687552,3.7412827,414,0.5394831001758575,-0.0029495815,0.031347655,1138.48940566,1687552,11.932216,824
0.0055820355,4185.580540418625,1759.66,1689600,3.7436929,415,0.7394430339336395,-0.0050823726,0.06948242,1136.92811108,1689600,8.917496,825
0.0030920464,4190.515755176544,1759.66,1691648,3.7391002,427,0.6596696078777313,-0.0030112464,0.03330078,1137.30067332,1691648,12.62502,826
0.004563875,4195.308305978775,1770.29,1693696,3.7351792,401,0.629844456911087,-0.0028281552,0.05053711,1144.88143158,1693696,12.143723,827
0.004078851,4200.416198253632,1786.76,1695744,3.7366586,379,0.7435126900672913,-0.0036357786,0.048046876,1155.9798019599998,1695744,10.469023,828
0.0027323829,4205.811976194382,1773.67,1697792,3.740631,430,0.7834848910570145,-0.0025234246,0.028759766,1146.73259022,1697792,13.293887,829
0.0052612005,4210.574392318726,1778.29,1699840,3.7396934,436,0.7448565065860748,-0.0052626077,0.06015625,1150.23559803,1699840,9.17562,830
0.0035430263,4215.270462751389,1775.27,1701888,3.734618,409,0.8422168344259262,-0.003987125,0.0390625,1147.8781751600002,1701888,6.107671,831
0.004086531,4220.277827501297,1779.85,1703936,3.7358508,411,0.6533554792404175,-0.004140005,0.048095703,1149.8098056,1703936,16.685184,832
